snapshot_date,sku,product_name,category,warehouse,current_stock_kg,avg_daily_sales,days_no_movement,last_sale_date,lead_time_days,safety_stock,reorder_point,ideal_stock,needs_reorder,unit_cost_inr,total_value_inr,monthly_holding_cost,aging_bucket,is_dead_stock,health_score,supplier
2022-01-01,P005,De-Oiled Cake 25Kg,ByProduct,Rajkot Warehouse,159.37,4.68,11,2021-12-21,7,80,113,141,0,530.0,84466.1,1520.39,0-30 days,0,94.7,Rajkot Agro Milling Associates
2022-01-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Rajkot Warehouse,238.07,9.76,6,2021-12-26,5,146,195,273,0,119.0,28330.33,509.95,0-30 days,0,92.5,Healthy Bran Oils Pvt Ltd
2022-01-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Mumbai Depot,864.76,38.09,4,2021-12-28,5,495,685,959,0,112.0,96853.12,1743.36,0-30 days,0,98.0,Gujarat Agro Seeds Pvt Ltd
2022-01-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Mumbai Depot,366.06,13.12,16,2021-12-16,6,184,263,368,0,145.0,53078.7,955.42,0-30 days,0,87.9,Kathiawar Peanut Processors
2022-01-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Mumbai Depot,691.31,29.48,8,2021-12-24,5,383,530,742,0,129.0,89178.99,1605.22,0-30 days,0,82.7,Shakti Packaging Industries
2022-01-01,P004,Industrial Castor Oil 50L,Industrial Oil,Mumbai Depot,41.03,1.0,10,2021-12-22,10,18,28,35,0,4120.0,169043.6,3042.78,0-30 days,0,95.7,Industrial Chemicals Feedstock Co
2022-01-01,P005,De-Oiled Cake 25Kg,ByProduct,Mumbai Depot,31.2,1.0,13,2021-12-19,7,15,22,28,0,530.0,16536.0,297.65,0-30 days,0,91.1,Rajkot Agro Milling Associates
2022-01-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Mumbai Depot,222.36,8.59,5,2021-12-27,5,112,155,217,0,119.0,26460.84,476.3,0-30 days,0,93.8,Healthy Bran Oils Pvt Ltd
2022-02-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Ahmedabad Plant,2570.28,110.85,12,2022-01-20,5,1330,1884,2638,0,112.0,287871.36,5181.68,0-30 days,0,95.9,Gujarat Agro Seeds Pvt Ltd
2022-02-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Ahmedabad Plant,814.15,32.92,5,2022-01-27,6,428,626,876,0,145.0,118051.75,2124.93,0-30 days,0,98.0,Kathiawar Peanut Processors
2022-02-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Ahmedabad Plant,841.91,32.89,6,2022-01-26,5,395,559,783,0,129.0,108606.39,1954.92,0-30 days,0,98.0,Shakti Packaging Industries
2022-02-01,P004,Industrial Castor Oil 50L,Industrial Oil,Ahmedabad Plant,98.93,3.07,12,2022-01-20,10,52,83,104,0,4120.0,407591.6,7336.65,0-30 days,0,89.3,Industrial Chemicals Feedstock Co
2022-02-01,P005,De-Oiled Cake 25Kg,ByProduct,Ahmedabad Plant,71.56,3.21,16,2022-01-16,7,45,67,84,0,530.0,37926.8,682.68,0-30 days,0,91.8,Rajkot Agro Milling Associates
2022-02-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Ahmedabad Plant,586.39,22.34,16,2022-01-16,5,268,380,532,0,119.0,69780.41,1256.05,0-30 days,0,87.3,Healthy Bran Oils Pvt Ltd
2022-02-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Rajkot Warehouse,1421.69,51.73,15,2022-01-17,5,776,1035,1449,0,112.0,159229.28,2866.13,0-30 days,0,90.3,Gujarat Agro Seeds Pvt Ltd
2022-02-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Rajkot Warehouse,353.92,13.17,11,2022-01-21,6,211,290,406,0,145.0,51318.4,923.73,0-30 days,0,98.0,Kathiawar Peanut Processors
2022-02-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Rajkot Warehouse,532.46,17.94,12,2022-01-20,5,269,359,503,0,129.0,68687.34,1236.37,0-30 days,0,90.4,Shakti Packaging Industries
2022-02-01,P004,Industrial Castor Oil 50L,Industrial Oil,Rajkot Warehouse,36.22,1.0,17,2022-01-15,10,20,30,38,0,4120.0,149226.4,2686.08,0-30 days,0,90.6,Industrial Chemicals Feedstock Co
2022-02-01,P005,De-Oiled Cake 25Kg,ByProduct,Rajkot Warehouse,112.41,4.44,2,2022-01-30,7,75,106,132,0,530.0,59577.3,1072.39,0-30 days,0,98.0,Rajkot Agro Milling Associates
2022-02-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Rajkot Warehouse,271.97,8.59,14,2022-01-18,5,129,172,241,0,119.0,32364.43,582.56,0-30 days,0,88.5,Healthy Bran Oils Pvt Ltd
2022-02-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Mumbai Depot,801.44,32.52,8,2022-01-24,5,423,586,820,0,112.0,89761.28,1615.7,0-30 days,0,98.0,Gujarat Agro Seeds Pvt Ltd
2022-02-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Mumbai Depot,360.34,11.76,12,2022-01-20,6,165,236,330,0,145.0,52249.3,940.49,0-30 days,0,90.8,Kathiawar Peanut Processors
2022-02-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Mumbai Depot,577.31,26.91,12,2022-01-20,5,350,485,679,0,129.0,74472.99,1340.51,0-30 days,0,87.1,Shakti Packaging Industries
2022-02-01,P004,Industrial Castor Oil 50L,Industrial Oil,Mumbai Depot,39.24,1.0,10,2022-01-22,10,18,28,35,0,4120.0,161668.8,2910.04,0-30 days,0,95.2,Industrial Chemicals Feedstock Co
2022-02-01,P005,De-Oiled Cake 25Kg,ByProduct,Mumbai Depot,29.39,1.0,4,2022-01-28,7,15,22,28,0,530.0,15576.7,280.38,0-30 days,0,93.8,Rajkot Agro Milling Associates
2022-02-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Mumbai Depot,199.93,7.56,17,2022-01-15,5,98,136,190,0,119.0,23791.67,428.25,0-30 days,0,87.8,Healthy Bran Oils Pvt Ltd
2022-03-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Ahmedabad Plant,2478.81,110.72,16,2022-02-13,5,1329,1883,2636,0,112.0,277626.72,4997.28,0-30 days,0,91.6,Gujarat Agro Seeds Pvt Ltd
2022-03-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Ahmedabad Plant,930.32,35.58,10,2022-02-19,6,463,676,946,0,145.0,134896.4,2428.14,0-30 days,0,90.5,Kathiawar Peanut Processors
2022-03-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Ahmedabad Plant,747.93,33.39,14,2022-02-15,5,401,568,795,0,129.0,96482.97,1736.69,0-30 days,0,94.6,Shakti Packaging Industries
2022-03-01,P004,Industrial Castor Oil 50L,Industrial Oil,Ahmedabad Plant,122.02,3.09,16,2022-02-13,10,53,84,105,0,4120.0,502722.4,9049.0,0-30 days,0,88.3,Industrial Chemicals Feedstock Co
2022-03-01,P005,De-Oiled Cake 25Kg,ByProduct,Ahmedabad Plant,86.5,3.32,13,2022-02-16,7,46,69,86,0,530.0,45845.0,825.21,0-30 days,0,94.2,Rajkot Agro Milling Associates
2022-03-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Ahmedabad Plant,484.73,21.95,15,2022-02-14,5,263,373,522,0,119.0,57682.87,1038.29,0-30 days,0,96.3,Healthy Bran Oils Pvt Ltd
2022-03-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Rajkot Warehouse,1471.8,51.67,7,2022-02-22,5,775,1033,1446,0,112.0,164841.6,2967.15,0-30 days,0,91.6,Gujarat Agro Seeds Pvt Ltd
2022-03-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Rajkot Warehouse,383.83,14.23,17,2022-02-12,6,228,313,438,0,145.0,55655.35,1001.8,0-30 days,0,90.4,Kathiawar Peanut Processors
2022-03-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Rajkot Warehouse,566.1,18.21,13,2022-02-16,5,273,364,510,0,129.0,73026.9,1314.48,0-30 days,0,98.0,Shakti Packaging Industries
2022-03-01,P004,Industrial Castor Oil 50L,Industrial Oil,Rajkot Warehouse,36.82,1.0,23,2022-02-06,10,20,30,38,0,4120.0,151698.4,2730.57,0-30 days,0,90.7,Industrial Chemicals Feedstock Co
2022-03-01,P005,De-Oiled Cake 25Kg,ByProduct,Rajkot Warehouse,136.76,4.59,15,2022-02-14,7,78,110,138,0,530.0,72482.8,1304.69,0-30 days,0,96.1,Rajkot Agro Milling Associates
2022-03-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Rajkot Warehouse,224.52,8.44,14,2022-02-15,5,127,169,237,0,119.0,26717.88,480.92,0-30 days,0,91.3,Healthy Bran Oils Pvt Ltd
2022-03-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Mumbai Depot,879.23,32.48,8,2022-02-21,5,422,584,818,0,112.0,98473.76,1772.53,0-30 days,0,97.3,Gujarat Agro Seeds Pvt Ltd
2022-03-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Mumbai Depot,398.43,12.71,15,2022-02-14,6,178,254,356,0,145.0,57772.35,1039.9,0-30 days,0,92.7,Kathiawar Peanut Processors
2022-03-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Mumbai Depot,716.38,27.32,3,2022-02-26,5,355,492,689,0,129.0,92413.02,1663.43,0-30 days,0,86.4,Shakti Packaging Industries
2022-03-01,P004,Industrial Castor Oil 50L,Industrial Oil,Mumbai Depot,43.64,1.0,19,2022-02-10,10,18,28,35,0,4120.0,179796.8,3236.34,0-30 days,0,90.4,Industrial Chemicals Feedstock Co
2022-03-01,P005,De-Oiled Cake 25Kg,ByProduct,Mumbai Depot,30.96,1.0,4,2022-02-25,7,15,22,28,0,530.0,16408.8,295.36,0-30 days,0,98.0,Rajkot Agro Milling Associates
2022-03-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Mumbai Depot,192.59,7.43,6,2022-02-23,5,97,134,188,0,119.0,22918.21,412.53,0-30 days,0,97.5,Healthy Bran Oils Pvt Ltd
2022-04-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Ahmedabad Plant,2954.62,109.22,13,2022-03-19,5,1311,1857,2600,0,112.0,330917.44,5956.51,0-30 days,0,94.5,Gujarat Agro Seeds Pvt Ltd
2022-04-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Ahmedabad Plant,980.55,34.51,12,2022-03-20,6,449,656,918,0,145.0,142179.75,2559.24,0-30 days,0,89.0,Kathiawar Peanut Processors
2022-04-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Ahmedabad Plant,856.62,32.51,7,2022-03-25,5,390,553,774,0,129.0,110503.98,1989.07,0-30 days,0,98.0,Shakti Packaging Industries
2022-04-01,P004,Industrial Castor Oil 50L,Industrial Oil,Ahmedabad Plant,96.64,3.04,5,2022-03-27,10,52,82,102,0,4120.0,398156.8,7166.82,0-30 days,0,93.7,Industrial Chemicals Feedstock Co
2022-04-01,P005,De-Oiled Cake 25Kg,ByProduct,Ahmedabad Plant,92.5,3.34,10,2022-03-22,7,47,70,88,0,530.0,49025.0,882.45,0-30 days,0,93.2,Rajkot Agro Milling Associates
2022-04-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Ahmedabad Plant,475.45,22.66,6,2022-03-26,5,272,385,539,0,119.0,56578.55,1018.41,0-30 days,0,98.0,Healthy Bran Oils Pvt Ltd
2022-04-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Rajkot Warehouse,1430.77,50.97,15,2022-03-17,5,765,1020,1428,0,112.0,160246.24,2884.43,0-30 days,0,95.9,Gujarat Agro Seeds Pvt Ltd
2022-04-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Rajkot Warehouse,390.61,13.8,11,2022-03-21,6,221,304,426,0,145.0,56638.45,1019.49,0-30 days,0,90.1,Kathiawar Peanut Processors
2022-04-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Rajkot Warehouse,494.2,17.73,13,2022-03-19,5,266,355,497,0,129.0,63751.8,1147.53,0-30 days,0,93.1,Shakti Packaging Industries
2022-04-01,P004,Industrial Castor Oil 50L,Industrial Oil,Rajkot Warehouse,42.89,1.0,9,2022-03-23,10,20,30,38,0,4120.0,176706.8,3180.72,0-30 days,0,96.7,Industrial Chemicals Feedstock Co
2022-04-01,P005,De-Oiled Cake 25Kg,ByProduct,Rajkot Warehouse,155.93,4.62,8,2022-03-24,7,79,111,139,0,530.0,82642.9,1487.57,0-30 days,0,96.7,Rajkot Agro Milling Associates
2022-04-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Rajkot Warehouse,278.31,8.72,17,2022-03-15,5,131,175,245,0,119.0,33118.89,596.14,0-30 days,0,91.9,Healthy Bran Oils Pvt Ltd
2022-04-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Mumbai Depot,863.17,32.04,8,2022-03-24,5,417,577,808,0,112.0,96675.04,1740.15,0-30 days,0,95.5,Gujarat Agro Seeds Pvt Ltd
2022-04-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Mumbai Depot,388.33,12.32,15,2022-03-17,6,172,246,344,0,145.0,56307.85,1013.54,0-30 days,0,89.3,Kathiawar Peanut Processors
2022-04-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Mumbai Depot,683.22,26.6,13,2022-03-19,5,346,479,671,0,129.0,88135.38,1586.44,0-30 days,0,79.5,Shakti Packaging Industries
2022-04-01,P004,Industrial Castor Oil 50L,Industrial Oil,Mumbai Depot,37.5,1.0,24,2022-03-08,10,18,28,35,0,4120.0,154500.0,2781.0,0-30 days,0,85.1,Industrial Chemicals Feedstock Co
2022-04-01,P005,De-Oiled Cake 25Kg,ByProduct,Mumbai Depot,28.24,1.0,7,2022-03-25,7,15,22,28,0,530.0,14967.2,269.41,0-30 days,0,98.0,Rajkot Agro Milling Associates
2022-04-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Mumbai Depot,199.12,7.67,4,2022-03-28,5,100,138,193,0,119.0,23695.28,426.52,0-30 days,0,98.0,Healthy Bran Oils Pvt Ltd
2022-05-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Ahmedabad Plant,2598.26,110.1,2,2022-04-29,5,1321,1872,2621,0,112.0,291005.12,5238.09,0-30 days,0,98.0,Gujarat Agro Seeds Pvt Ltd
2022-05-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Ahmedabad Plant,887.59,34.0,4,2022-04-27,6,442,646,904,0,145.0,128700.55,2316.61,0-30 days,0,93.7,Kathiawar Peanut Processors
2022-05-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Ahmedabad Plant,808.47,32.25,3,2022-04-28,5,387,548,767,0,129.0,104292.63,1877.27,0-30 days,0,98.0,Shakti Packaging Industries
2022-05-01,P004,Industrial Castor Oil 50L,Industrial Oil,Ahmedabad Plant,140.41,3.44,23,2022-04-08,10,58,92,115,0,4120.0,578489.2,10412.81,0-30 days,0,83.8,Industrial Chemicals Feedstock Co
2022-05-01,P005,De-Oiled Cake 25Kg,ByProduct,Ahmedabad Plant,77.72,3.49,14,2022-04-17,7,49,73,91,0,530.0,41191.6,741.45,0-30 days,0,91.0,Rajkot Agro Milling Associates
2022-05-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Ahmedabad Plant,497.66,22.62,10,2022-04-21,5,271,384,538,0,119.0,59221.54,1065.99,0-30 days,0,98.0,Healthy Bran Oils Pvt Ltd
2022-05-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Rajkot Warehouse,1437.12,51.38,4,2022-04-27,5,771,1028,1439,0,112.0,160957.44,2897.23,0-30 days,0,97.2,Gujarat Agro Seeds Pvt Ltd
2022-05-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Rajkot Warehouse,408.39,13.6,17,2022-04-14,6,218,300,420,0,145.0,59216.55,1065.9,0-30 days,0,93.1,Kathiawar Peanut Processors
2022-05-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Rajkot Warehouse,448.14,17.59,12,2022-04-19,5,264,352,493,0,129.0,57810.06,1040.58,0-30 days,0,89.6,Shakti Packaging Industries
2022-05-01,P004,Industrial Castor Oil 50L,Industrial Oil,Rajkot Warehouse,35.65,1.0,14,2022-04-17,10,20,30,38,0,4120.0,146878.0,2643.8,0-30 days,0,94.3,Industrial Chemicals Feedstock Co
2022-05-01,P005,De-Oiled Cake 25Kg,ByProduct,Rajkot Warehouse,139.55,4.83,7,2022-04-24,7,82,116,145,0,530.0,73961.5,1331.31,0-30 days,0,93.3,Rajkot Agro Milling Associates
2022-05-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Rajkot Warehouse,232.71,8.7,3,2022-04-28,5,130,174,244,0,119.0,27692.49,498.46,0-30 days,0,97.1,Healthy Bran Oils Pvt Ltd
2022-05-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Mumbai Depot,839.38,32.3,8,2022-04-23,5,420,582,815,0,112.0,94010.56,1692.19,0-30 days,0,98.0,Gujarat Agro Seeds Pvt Ltd
2022-05-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Mumbai Depot,384.9,12.14,8,2022-04-23,6,170,243,340,0,145.0,55810.5,1004.59,0-30 days,0,98.0,Kathiawar Peanut Processors
2022-05-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Mumbai Depot,739.07,26.38,3,2022-04-28,5,343,475,665,0,129.0,95340.03,1716.12,0-30 days,0,83.7,Shakti Packaging Industries
2022-05-01,P004,Industrial Castor Oil 50L,Industrial Oil,Mumbai Depot,35.32,1.0,24,2022-04-07,10,18,28,35,0,4120.0,145518.4,2619.33,0-30 days,0,86.9,Industrial Chemicals Feedstock Co
2022-05-01,P005,De-Oiled Cake 25Kg,ByProduct,Mumbai Depot,24.25,1.0,7,2022-04-24,7,15,22,28,0,530.0,12852.5,231.34,0-30 days,0,96.1,Rajkot Agro Milling Associates
2022-05-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Mumbai Depot,193.73,7.66,2,2022-04-29,5,100,138,193,0,119.0,23053.87,414.97,0-30 days,0,98.0,Healthy Bran Oils Pvt Ltd
2022-06-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Ahmedabad Plant,2886.76,110.55,14,2022-05-18,5,1327,1880,2632,0,112.0,323317.12,5819.71,0-30 days,0,90.1,Gujarat Agro Seeds Pvt Ltd
2022-06-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Ahmedabad Plant,1011.07,33.51,12,2022-05-20,6,436,637,892,0,145.0,146605.15,2638.89,0-30 days,0,93.8,Kathiawar Peanut Processors
2022-06-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Ahmedabad Plant,701.8,32.95,15,2022-05-17,5,395,560,784,0,129.0,90532.2,1629.58,0-30 days,0,92.5,Shakti Packaging Industries
2022-06-01,P004,Industrial Castor Oil 50L,Industrial Oil,Ahmedabad Plant,102.67,2.8,7,2022-05-25,10,48,76,95,0,4120.0,423000.4,7614.01,0-30 days,0,96.4,Industrial Chemicals Feedstock Co
2022-06-01,P005,De-Oiled Cake 25Kg,ByProduct,Ahmedabad Plant,88.4,2.97,13,2022-05-19,7,42,63,79,0,530.0,46852.0,843.34,0-30 days,0,98.0,Rajkot Agro Milling Associates
2022-06-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Ahmedabad Plant,507.24,22.97,13,2022-05-19,5,276,391,547,0,119.0,60361.56,1086.51,0-30 days,0,97.3,Healthy Bran Oils Pvt Ltd
2022-06-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Rajkot Warehouse,1368.94,51.59,11,2022-05-21,5,774,1032,1445,0,112.0,153321.28,2759.78,0-30 days,0,97.3,Gujarat Agro Seeds Pvt Ltd
2022-06-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Rajkot Warehouse,449.47,13.4,8,2022-05-24,6,214,294,412,0,145.0,65173.15,1173.12,0-30 days,0,91.4,Kathiawar Peanut Processors
2022-06-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Rajkot Warehouse,475.21,17.97,4,2022-05-28,5,270,360,504,0,129.0,61302.09,1103.44,0-30 days,0,95.9,Shakti Packaging Industries
2022-06-01,P004,Industrial Castor Oil 50L,Industrial Oil,Rajkot Warehouse,45.63,1.0,19,2022-05-13,10,20,30,38,0,4120.0,187995.6,3383.92,0-30 days,0,92.2,Industrial Chemicals Feedstock Co
2022-06-01,P005,De-Oiled Cake 25Kg,ByProduct,Rajkot Warehouse,125.39,4.11,12,2022-05-20,7,70,99,124,0,530.0,66456.7,1196.22,0-30 days,0,89.5,Rajkot Agro Milling Associates
2022-06-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Rajkot Warehouse,254.05,8.83,2,2022-05-30,5,132,176,246,0,119.0,30231.95,544.18,0-30 days,0,98.0,Healthy Bran Oils Pvt Ltd
2022-06-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Mumbai Depot,725.06,32.43,11,2022-05-21,5,422,584,818,0,112.0,81206.72,1461.72,0-30 days,0,90.6,Gujarat Agro Seeds Pvt Ltd
2022-06-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Mumbai Depot,296.49,11.97,5,2022-05-27,6,168,240,336,0,145.0,42991.05,773.84,0-30 days,0,96.9,Kathiawar Peanut Processors
2022-06-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Mumbai Depot,613.5,26.96,16,2022-05-16,5,350,485,679,0,129.0,79141.5,1424.55,0-30 days,0,77.8,Shakti Packaging Industries
2022-06-01,P004,Industrial Castor Oil 50L,Industrial Oil,Mumbai Depot,35.74,1.0,21,2022-05-11,10,18,28,35,0,4120.0,147248.8,2650.48,0-30 days,0,93.0,Industrial Chemicals Feedstock Co
2022-06-01,P005,De-Oiled Cake 25Kg,ByProduct,Mumbai Depot,29.08,1.0,12,2022-05-20,7,15,22,28,0,530.0,15412.4,277.42,0-30 days,0,90.0,Rajkot Agro Milling Associates
2022-06-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Mumbai Depot,214.92,7.77,5,2022-05-27,5,101,140,196,0,119.0,25575.48,460.36,0-30 days,0,98.0,Healthy Bran Oils Pvt Ltd
2022-07-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Ahmedabad Plant,2786.04,102.45,14,2022-06-17,5,1229,1741,2437,0,112.0,312036.48,5616.66,0-30 days,0,88.4,Gujarat Agro Seeds Pvt Ltd
2022-07-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Ahmedabad Plant,784.61,33.25,2,2022-06-29,6,432,632,885,0,145.0,113768.45,2047.83,0-30 days,0,98.0,Kathiawar Peanut Processors
2022-07-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Ahmedabad Plant,902.33,32.98,14,2022-06-17,5,396,561,785,0,129.0,116400.57,2095.21,0-30 days,0,96.9,Shakti Packaging Industries
2022-07-01,P004,Industrial Castor Oil 50L,Industrial Oil,Ahmedabad Plant,108.92,2.8,20,2022-06-11,10,48,76,95,0,4120.0,448750.4,8077.51,0-30 days,0,94.0,Industrial Chemicals Feedstock Co
2022-07-01,P005,De-Oiled Cake 25Kg,ByProduct,Ahmedabad Plant,75.06,3.21,2,2022-06-29,7,45,67,84,0,530.0,39781.8,716.07,0-30 days,0,98.0,Rajkot Agro Milling Associates
2022-07-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Ahmedabad Plant,507.33,20.52,14,2022-06-17,5,246,349,489,0,119.0,60372.27,1086.7,0-30 days,0,95.3,Healthy Bran Oils Pvt Ltd
2022-07-01,P001,Tirupati Cottonseed Oil 1L,Edible Oil,Rajkot Warehouse,1403.63,47.81,8,2022-06-23,5,717,956,1338,0,112.0,157206.56,2829.72,0-30 days,0,94.5,Gujarat Agro Seeds Pvt Ltd
2022-07-01,P002,Tirupati Groundnut Oil 1L,Edible Oil,Rajkot Warehouse,356.28,13.3,4,2022-06-27,6,213,293,410,0,145.0,51660.6,929.89,0-30 days,0,98.0,Kathiawar Peanut Processors
2022-07-01,P003,Tirupati Sunflower Oil 1L,Edible Oil,Rajkot Warehouse,547.05,17.99,9,2022-06-22,5,270,360,504,0,129.0,70569.45,1270.25,0-30 days,0,98.0,Shakti Packaging Industries
2022-07-01,P004,Industrial Castor Oil 50L,Industrial Oil,Rajkot Warehouse,46.56,1.0,6,2022-06-25,10,20,30,38,0,4120.0,191827.2,3452.89,0-30 days,0,98.0,Industrial Chemicals Feedstock Co
2022-07-01,P005,De-Oiled Cake 25Kg,ByProduct,Rajkot Warehouse,113.73,4.44,12,2022-06-19,7,75,106,132,0,530.0,60276.9,1084.98,0-30 days,0,97.8,Rajkot Agro Milling Associates
2022-07-01,P006,Tirupati Rice Bran Oil 1L,Edible Oil,Rajkot Warehouse,204.24,7.89,14,2022-06-17,5,118,157,220,0,119.0,24304.56,437.48,0-30 days,0,97.8,Healthy Bran Oils Pvt Ltd
