Date,Product,Sales_INR,Quantity
2021-04-03,Tirupati Soybean Oil,370552,247
2021-04-03,Tirupati Mustard Oil,86137,57
2021-04-03,Olixir Olive Oil,444631,296
2021-04-03,Olixir Sesame Oil,131602,87
2021-04-03,Castor Oil,255438,170
2021-04-03,Refined Castor Oil,456181,304
2021-04-03,De Oiled Cake,236942,157
2021-04-04,Tirupati Cottonseed Oil,107037,71
2021-04-04,Tirupati Sunflower Oil,213165,142
2021-04-04,Tirupati Groundnut Oil,286484,190
2021-04-04,Tirupati Soybean Oil,444270,296
2021-04-04,Tirupati Mustard Oil,447148,298
2021-04-04,Olixir Olive Oil,96800,64
2021-04-04,Olixir Sesame Oil,322460,214
2021-04-04,Castor Oil,485740,323
2021-04-04,Refined Castor Oil,417625,278
2021-04-04,De Oiled Cake,65991,43
2021-04-05,Tirupati Cottonseed Oil,185585,123
2021-04-05,Tirupati Sunflower Oil,335585,223
2021-04-05,Tirupati Groundnut Oil,418177,278
2021-04-05,Tirupati Soybean Oil,268792,179
2021-04-05,Tirupati Mustard Oil,137748,91
2021-04-05,Olixir Olive Oil,155326,103
2021-04-05,Olixir Sesame Oil,186175,124
2021-04-05,Castor Oil,281627,187
2021-04-05,Refined Castor Oil,267161,178
2021-04-05,De Oiled Cake,351773,234
2021-04-06,Tirupati Cottonseed Oil,201602,134
2021-04-06,Tirupati Sunflower Oil,99413,66
2021-04-06,Tirupati Groundnut Oil,326837,217
2021-04-06,Tirupati Soybean Oil,247755,165
2021-04-06,Tirupati Mustard Oil,269534,179
2021-04-06,Olixir Olive Oil,317864,211
2021-04-06,Olixir Sesame Oil,268887,179
2021-04-06,Castor Oil,486501,324
2021-04-06,Refined Castor Oil,458656,305
2021-04-06,De Oiled Cake,107956,71
2021-04-07,Tirupati Cottonseed Oil,60155,40
2021-04-07,Tirupati Sunflower Oil,256694,171
2021-04-07,Tirupati Groundnut Oil,182584,121
2021-04-07,Tirupati Soybean Oil,491695,327
2021-04-07,Tirupati Mustard Oil,256461,170
2021-04-07,Olixir Olive Oil,497152,331
2021-04-07,Olixir Sesame Oil,465412,310
2021-04-07,Castor Oil,182699,121
2021-04-07,Refined Castor Oil,131644,87
2021-04-07,De Oiled Cake,93613,62
2021-04-08,Tirupati Cottonseed Oil,335623,223
2021-04-08,Tirupati Sunflower Oil,405249,270
2021-04-08,Tirupati Groundnut Oil,394947,263
2021-04-08,Tirupati Soybean Oil,86363,57
2021-04-08,Tirupati Mustard Oil,189906,126
2021-04-08,Olixir Olive Oil,130765,87
2021-04-08,Olixir Sesame Oil,78513,52
2021-04-08,Castor Oil,136008,90
2021-04-08,Refined Castor Oil,340401,226
2021-04-08,De Oiled Cake,464560,309
2021-04-09,Tirupati Cottonseed Oil,138371,92
2021-04-09,Tirupati Sunflower Oil,69104,46
2021-04-09,Tirupati Groundnut Oil,471107,314
2021-04-09,Tirupati Soybean Oil,131798,87
2021-04-09,Tirupati Mustard Oil,246147,164
2021-04-09,Olixir Olive Oil,157183,104
2021-04-09,Olixir Sesame Oil,408690,272
2021-04-09,Castor Oil,233240,155
2021-04-09,Refined Castor Oil,236536,157
2021-04-09,De Oiled Cake,282537,188
2021-04-10,Tirupati Cottonseed Oil,348399,232
2021-04-10,Tirupati Sunflower Oil,282854,188
2021-04-10,Tirupati Groundnut Oil,158908,105
2021-04-10,Tirupati Soybean Oil,89810,59
2021-04-10,Tirupati Mustard Oil,293583,195
2021-04-10,Olixir Olive Oil,409471,272
2021-04-10,Olixir Sesame Oil,237056,158
2021-04-10,Castor Oil,129240,86
2021-04-10,Refined Castor Oil,436846,291
2021-04-10,De Oiled Cake,101942,67
2021-04-11,Tirupati Cottonseed Oil,347992,231
2021-04-11,Tirupati Sunflower Oil,303124,202
2021-04-11,Tirupati Groundnut Oil,290742,193
2021-04-11,Tirupati Soybean Oil,415381,276
2021-04-11,Tirupati Mustard Oil,476336,317
2021-04-11,Olixir Olive Oil,305874,203
2021-04-11,Olixir Sesame Oil,480199,320
2021-04-11,Castor Oil,89706,59
2021-04-11,Refined Castor Oil,183100,122
2021-04-11,De Oiled Cake,125559,83
2021-04-12,Tirupati Cottonseed Oil,447789,298
2021-04-12,Tirupati Sunflower Oil,348792,232
2021-04-12,Tirupati Groundnut Oil,351922,234
2021-04-12,Tirupati Soybean Oil,137489,91
2021-04-12,Tirupati Mustard Oil,350262,233
2021-04-12,Olixir Olive Oil,294048,196
2021-04-12,Olixir Sesame Oil,216505,144
2021-04-12,Castor Oil,335260,223
2021-04-12,Refined Castor Oil,233550,155
2021-04-12,De Oiled Cake,56807,37
2021-04-13,Tirupati Cottonseed Oil,306605,204
2021-04-13,Tirupati Sunflower Oil,121119,80
2021-04-13,Tirupati Groundnut Oil,278751,185
2021-04-13,Tirupati Soybean Oil,154884,103
2021-04-13,Tirupati Mustard Oil,400820,267
2021-04-13,Olixir Olive Oil,191967,127
2021-04-13,Olixir Sesame Oil,190660,127
2021-04-13,Castor Oil,227403,151
2021-04-13,Refined Castor Oil,369839,246
2021-04-13,De Oiled Cake,492908,328
2021-04-14,Tirupati Cottonseed Oil,507848,338
2021-04-14,Tirupati Sunflower Oil,179918,119
2021-04-14,Tirupati Groundnut Oil,419165,279
2021-04-14,Tirupati Soybean Oil,63776,42
2021-04-14,Tirupati Mustard Oil,196928,131
2021-04-14,Olixir Olive Oil,242301,161
2021-04-14,Olixir Sesame Oil,152171,101
2021-04-14,Castor Oil,283624,189
2021-04-14,Refined Castor Oil,63904,42
2021-04-14,De Oiled Cake,438520,292
2021-04-15,Tirupati Cottonseed Oil,119440,79
2021-04-15,Tirupati Sunflower Oil,109299,72
2021-04-15,Tirupati Groundnut Oil,456949,304
2021-04-15,Tirupati Soybean Oil,314031,209
2021-04-15,Tirupati Mustard Oil,474125,316
2021-04-15,Olixir Olive Oil,57946,38
2021-04-15,Olixir Sesame Oil,336331,224
2021-04-15,Castor Oil,330483,220
2021-04-15,Refined Castor Oil,111550,74
2021-04-15,De Oiled Cake,79867,53
2021-04-16,Tirupati Cottonseed Oil,290653,193
2021-04-16,Tirupati Sunflower Oil,363350,242
2021-04-16,Tirupati Groundnut Oil,139394,92
2021-04-16,Tirupati Soybean Oil,87362,58
2021-04-16,Tirupati Mustard Oil,276791,184
2021-04-16,Olixir Olive Oil,392993,261
2021-04-16,Olixir Sesame Oil,483777,322
2021-04-16,Castor Oil,142395,94
2021-04-16,Refined Castor Oil,245369,163
2021-04-16,De Oiled Cake,406025,270
2021-04-17,Tirupati Cottonseed Oil,441976,294
2021-04-17,Tirupati Sunflower Oil,226731,151
2021-04-17,Tirupati Groundnut Oil,139739,93
2021-04-17,Tirupati Soybean Oil,186739,124
2021-04-17,Tirupati Mustard Oil,391823,261
2021-04-17,Olixir Olive Oil,493221,328
2021-04-17,Olixir Sesame Oil,160356,106
2021-04-17,Castor Oil,447563,298
2021-04-17,Refined Castor Oil,494106,329
2021-04-17,De Oiled Cake,166047,110
2021-04-18,Tirupati Cottonseed Oil,395635,263
2021-04-18,Tirupati Sunflower Oil,72910,48
2021-04-18,Tirupati Groundnut Oil,382140,254
2021-04-18,Tirupati Soybean Oil,325719,217
2021-04-18,Tirupati Mustard Oil,112081,74
2021-04-18,Olixir Olive Oil,50205,33
2021-04-18,Olixir Sesame Oil,324157,216
2021-04-18,Castor Oil,108136,72
2021-04-18,Refined Castor Oil,425528,283
2021-04-18,De Oiled Cake,261591,174
2021-04-19,Tirupati Cottonseed Oil,153764,102
2021-04-19,Tirupati Sunflower Oil,376944,251
2021-04-19,Tirupati Groundnut Oil,140983,93
2021-04-19,Tirupati Soybean Oil,348383,232
2021-04-19,Tirupati Mustard Oil,205437,136
2021-04-19,Olixir Olive Oil,342059,228
2021-04-19,Olixir Sesame Oil,382058,254
2021-04-19,Castor Oil,367610,245
2021-04-19,Refined Castor Oil,69655,46
2021-04-19,De Oiled Cake,480901,320
2021-04-20,Tirupati Cottonseed Oil,176031,117
2021-04-20,Tirupati Sunflower Oil,81900,54
2021-04-20,Tirupati Groundnut Oil,498062,332
2021-04-20,Tirupati Soybean Oil,469337,312
2021-04-20,Tirupati Mustard Oil,287453,191
2021-04-20,Olixir Olive Oil,445099,296
2021-04-20,Olixir Sesame Oil,445589,297
2021-04-20,Castor Oil,493683,329
2021-04-20,Refined Castor Oil,70259,46
2021-04-20,De Oiled Cake,233403,155
2021-04-21,Tirupati Cottonseed Oil,173167,115
2021-04-21,Tirupati Sunflower Oil,302256,201
2021-04-21,Tirupati Groundnut Oil,269868,179
2021-04-21,Tirupati Soybean Oil,468391,312
2021-04-21,Tirupati Mustard Oil,308330,205
2021-04-21,Olixir Olive Oil,151467,100
2021-04-21,Olixir Sesame Oil,96472,64
2021-04-21,Castor Oil,229478,152
2021-04-21,Refined Castor Oil,241565,161
2021-04-21,De Oiled Cake,472752,315
2021-04-22,Tirupati Cottonseed Oil,567263,378
2021-04-22,Tirupati Sunflower Oil,372275,248
2021-04-22,Tirupati Groundnut Oil,259111,172
2021-04-22,Tirupati Soybean Oil,482624,321
2021-04-22,Tirupati Mustard Oil,466099,310
2021-04-22,Olixir Olive Oil,417614,278
2021-04-22,Olixir Sesame Oil,351835,234
2021-04-22,Castor Oil,131376,87
2021-04-22,Refined Castor Oil,329958,219
2021-04-22,De Oiled Cake,217556,145
2021-04-23,Tirupati Cottonseed Oil,99091,66
2021-04-23,Tirupati Sunflower Oil,282475,188
2021-04-23,Tirupati Groundnut Oil,125511,83
2021-04-23,Tirupati Soybean Oil,364527,243
2021-04-23,Tirupati Mustard Oil,311354,207
2021-04-23,Olixir Olive Oil,371397,247
2021-04-23,Olixir Sesame Oil,406003,270
2021-04-23,Castor Oil,154680,103
2021-04-23,Refined Castor Oil,203379,135
2021-04-23,De Oiled Cake,447107,298
2021-04-24,Tirupati Cottonseed Oil,627151,418
2021-04-24,Tirupati Sunflower Oil,153763,102
2021-04-24,Tirupati Groundnut Oil,217467,144
2021-04-24,Tirupati Soybean Oil,315338,210
2021-04-24,Tirupati Mustard Oil,442938,295
2021-04-24,Olixir Olive Oil,199904,133
2021-04-24,Olixir Sesame Oil,113327,75
2021-04-24,Castor Oil,463534,309
2021-04-24,Refined Castor Oil,50492,33
2021-04-24,De Oiled Cake,451919,301
2021-04-25,Tirupati Cottonseed Oil,571116,380
2021-04-25,Tirupati Sunflower Oil,249796,166
2021-04-25,Tirupati Groundnut Oil,295660,197
2021-04-25,Tirupati Soybean Oil,53846,35
2021-04-25,Tirupati Mustard Oil,212750,141
2021-04-25,Olixir Olive Oil,73635,49
2021-04-25,Olixir Sesame Oil,314744,209
2021-04-25,Castor Oil,251328,167
2021-04-25,Refined Castor Oil,262199,174
2021-04-25,De Oiled Cake,325285,216
2021-04-26,Tirupati Cottonseed Oil,442104,294
2021-04-26,Tirupati Sunflower Oil,295447,196
2021-04-26,Tirupati Groundnut Oil,181016,120
2021-04-26,Tirupati Soybean Oil,447124,298
2021-04-26,Tirupati Mustard Oil,370213,246
2021-04-26,Olixir Olive Oil,464801,309
2021-04-26,Olixir Sesame Oil,387752,258
2021-04-26,Castor Oil,99549,66
2021-04-26,Refined Castor Oil,228397,152
2021-04-26,De Oiled Cake,244116,162
2021-04-27,Tirupati Cottonseed Oil,72104,48
2021-04-27,Tirupati Sunflower Oil,445135,296
2021-04-27,Tirupati Groundnut Oil,473572,315
2021-04-27,Tirupati Soybean Oil,415339,276
2021-04-27,Tirupati Mustard Oil,321171,214
2021-04-27,Olixir Olive Oil,56446,37
2021-04-27,Olixir Sesame Oil,155415,103
2021-04-27,Castor Oil,186608,124
2021-04-27,Refined Castor Oil,118114,78
2021-04-27,De Oiled Cake,339184,226
2021-04-28,Tirupati Cottonseed Oil,184671,123
2021-04-28,Tirupati Sunflower Oil,163254,108
2021-04-28,Tirupati Groundnut Oil,401120,267
2021-04-28,Tirupati Soybean Oil,437693,291
2021-04-28,Tirupati Mustard Oil,75853,50
2021-04-28,Olixir Olive Oil,253212,168
2021-04-28,Olixir Sesame Oil,330519,220
2021-04-28,Castor Oil,100831,67
2021-04-28,Refined Castor Oil,215065,143
2021-04-28,De Oiled Cake,415054,276
2021-04-29,Tirupati Cottonseed Oil,393087,262
2021-04-29,Tirupati Sunflower Oil,171405,114
2021-04-29,Tirupati Groundnut Oil,190169,126
2021-04-29,Tirupati Soybean Oil,285996,190
2021-04-29,Tirupati Mustard Oil,368281,245
2021-04-29,Olixir Olive Oil,103707,69
2021-04-29,Olixir Sesame Oil,83472,55
2021-04-29,Castor Oil,94122,62
2021-04-29,Refined Castor Oil,148899,99
2021-04-29,De Oiled Cake,367130,244
2021-04-30,Tirupati Cottonseed Oil,354835,236
2021-04-30,Tirupati Sunflower Oil,475261,316
2021-04-30,Tirupati Groundnut Oil,328606,219
2021-04-30,Tirupati Soybean Oil,89099,59
2021-04-30,Tirupati Mustard Oil,176015,117
2021-04-30,Olixir Olive Oil,413589,275
2021-04-30,Olixir Sesame Oil,166816,111
2021-04-30,Castor Oil,431707,287
2021-04-30,Refined Castor Oil,407518,271
2021-04-30,De Oiled Cake,383593,255
2021-05-01,Tirupati Cottonseed Oil,343039,228
2021-05-01,Tirupati Sunflower Oil,52241,34
2021-05-01,Tirupati Groundnut Oil,341929,227
2021-05-01,Tirupati Soybean Oil,161570,107
2021-05-01,Tirupati Mustard Oil,408809,272
2021-05-01,Olixir Olive Oil,207086,138
2021-05-01,Olixir Sesame Oil,277968,185
2021-05-01,Castor Oil,347046,231
2021-05-01,Refined Castor Oil,126589,84
2021-05-01,De Oiled Cake,499973,333
2021-05-02,Tirupati Cottonseed Oil,209122,139
2021-05-02,Tirupati Sunflower Oil,253058,168
2021-05-02,Tirupati Groundnut Oil,242421,161
2021-05-02,Tirupati Soybean Oil,235390,156
2021-05-02,Tirupati Mustard Oil,285313,190
2021-05-02,Olixir Olive Oil,84664,56
2021-05-02,Olixir Sesame Oil,474276,316
2021-05-02,Castor Oil,238136,158
2021-05-02,Refined Castor Oil,429323,286
2021-05-02,De Oiled Cake,435225,290
2021-05-03,Tirupati Cottonseed Oil,166953,111
2021-05-03,Tirupati Sunflower Oil,426002,284
2021-05-03,Tirupati Groundnut Oil,415143,276
2021-05-03,Tirupati Soybean Oil,379362,252
2021-05-03,Tirupati Mustard Oil,87639,58
2021-05-03,Olixir Olive Oil,434214,289
2021-05-03,Olixir Sesame Oil,445055,296
2021-05-03,Castor Oil,157977,105
2021-05-03,Refined Castor Oil,489296,326
2021-05-03,De Oiled Cake,175589,117
2021-05-04,Tirupati Cottonseed Oil,385782,257
2021-05-04,Tirupati Sunflower Oil,381179,254
2021-05-04,Tirupati Groundnut Oil,178316,118
2021-05-04,Tirupati Soybean Oil,210712,140
2021-05-04,Tirupati Mustard Oil,326381,217
2021-05-04,Olixir Olive Oil,246081,164
2021-05-04,Olixir Sesame Oil,167820,111
2021-05-04,Castor Oil,303820,202
2021-05-04,Refined Castor Oil,252748,168
2021-05-04,De Oiled Cake,388537,259
2021-05-05,Tirupati Cottonseed Oil,310257,206
2021-05-05,Tirupati Sunflower Oil,68609,45
2021-05-05,Tirupati Groundnut Oil,315985,210
2021-05-05,Tirupati Soybean Oil,287282,191
2021-05-05,Tirupati Mustard Oil,267955,178
2021-05-05,Olixir Olive Oil,330842,220
2021-05-05,Olixir Sesame Oil,111586,74
2021-05-05,Castor Oil,276294,184
2021-05-05,Refined Castor Oil,327804,218
2021-05-05,De Oiled Cake,220437,146
2021-05-06,Tirupati Cottonseed Oil,115699,77
2021-05-06,Tirupati Sunflower Oil,107813,71
2021-05-06,Tirupati Groundnut Oil,214297,142
2021-05-06,Tirupati Soybean Oil,431600,287
2021-05-06,Tirupati Mustard Oil,481756,321
2021-05-06,Olixir Olive Oil,275793,183
2021-05-06,Olixir Sesame Oil,434970,289
2021-05-06,Castor Oil,393404,262
2021-05-06,Refined Castor Oil,299418,199
2021-05-06,De Oiled Cake,486400,324
2021-05-07,Tirupati Cottonseed Oil,593721,395
2021-05-07,Tirupati Sunflower Oil,134252,89
2021-05-07,Tirupati Groundnut Oil,324160,216
2021-05-07,Tirupati Soybean Oil,383323,255
2021-05-07,Tirupati Mustard Oil,253730,169
2021-05-07,Olixir Olive Oil,233905,155
2021-05-07,Olixir Sesame Oil,469559,313
2021-05-07,Castor Oil,450057,300
2021-05-07,Refined Castor Oil,99910,66
2021-05-07,De Oiled Cake,313873,209
2021-05-08,Tirupati Cottonseed Oil,157131,104
2021-05-08,Tirupati Sunflower Oil,169711,113
2021-05-08,Tirupati Groundnut Oil,471488,314
2021-05-08,Tirupati Soybean Oil,147265,98
2021-05-08,Tirupati Mustard Oil,480414,320
2021-05-08,Olixir Olive Oil,294783,196
2021-05-08,Olixir Sesame Oil,359681,239
2021-05-08,Castor Oil,185787,123
2021-05-08,Refined Castor Oil,232734,155
2021-05-08,De Oiled Cake,491717,327
2021-05-09,Tirupati Cottonseed Oil,289866,193
2021-05-09,Tirupati Sunflower Oil,314151,209
2021-05-09,Tirupati Groundnut Oil,304947,203
2021-05-09,Tirupati Soybean Oil,65507,43
2021-05-09,Tirupati Mustard Oil,73700,49
2021-05-09,Olixir Olive Oil,227806,151
2021-05-09,Olixir Sesame Oil,486255,324
2021-05-09,Castor Oil,458180,305
2021-05-09,Refined Castor Oil,271288,180
2021-05-09,De Oiled Cake,404273,269
2021-05-10,Tirupati Cottonseed Oil,422888,281
2021-05-10,Tirupati Sunflower Oil,69163,46
2021-05-10,Tirupati Groundnut Oil,77741,51
2021-05-10,Tirupati Soybean Oil,180335,120
2021-05-10,Tirupati Mustard Oil,168062,112
2021-05-10,Olixir Olive Oil,66868,44
2021-05-10,Olixir Sesame Oil,323248,215
2021-05-10,Castor Oil,418565,279
2021-05-10,Refined Castor Oil,373796,249
2021-05-10,De Oiled Cake,459179,306
2021-05-11,Tirupati Cottonseed Oil,255495,170
2021-05-11,Tirupati Sunflower Oil,440232,293
2021-05-11,Tirupati Groundnut Oil,418107,278
2021-05-11,Tirupati Soybean Oil,289944,193
2021-05-11,Tirupati Mustard Oil,229980,153
2021-05-11,Olixir Olive Oil,350271,233
2021-05-11,Olixir Sesame Oil,114625,76
2021-05-11,Castor Oil,429009,286
2021-05-11,Refined Castor Oil,391079,260
2021-05-11,De Oiled Cake,291168,194
2021-05-12,Tirupati Cottonseed Oil,257594,171
2021-05-12,Tirupati Sunflower Oil,241856,161
2021-05-12,Tirupati Groundnut Oil,144115,96
2021-05-12,Tirupati Soybean Oil,332405,221
2021-05-12,Tirupati Mustard Oil,329051,219
2021-05-12,Olixir Olive Oil,268526,179
2021-05-12,Olixir Sesame Oil,168738,112
2021-05-12,Castor Oil,182813,121
2021-05-12,Refined Castor Oil,351866,234
2021-05-12,De Oiled Cake,166068,110
2021-05-13,Tirupati Cottonseed Oil,412306,274
2021-05-13,Tirupati Sunflower Oil,274620,183
2021-05-13,Tirupati Groundnut Oil,391755,261
2021-05-13,Tirupati Soybean Oil,469902,313
2021-05-13,Tirupati Mustard Oil,378012,252
2021-05-13,Olixir Olive Oil,151779,101
2021-05-13,Olixir Sesame Oil,452089,301
2021-05-13,Castor Oil,55045,36
2021-05-13,Refined Castor Oil,209350,139
2021-05-13,De Oiled Cake,443234,295
2021-05-14,Tirupati Cottonseed Oil,212123,141
2021-05-14,Tirupati Sunflower Oil,117791,78
2021-05-14,Tirupati Groundnut Oil,240613,160
2021-05-14,Tirupati Soybean Oil,414786,276
2021-05-14,Tirupati Mustard Oil,410838,273
2021-05-14,Olixir Olive Oil,234063,156
2021-05-14,Olixir Sesame Oil,463013,308
2021-05-14,Castor Oil,408761,272
2021-05-14,Refined Castor Oil,344380,229
2021-05-14,De Oiled Cake,468820,312
2021-05-15,Tirupati Cottonseed Oil,399756,266
2021-05-15,Tirupati Sunflower Oil,416650,277
2021-05-15,Tirupati Groundnut Oil,98542,65
2021-05-15,Tirupati Soybean Oil,307321,204
2021-05-15,Tirupati Mustard Oil,121042,80
2021-05-15,Olixir Olive Oil,394480,262
2021-05-15,Olixir Sesame Oil,437639,291
2021-05-15,Castor Oil,396908,264
2021-05-15,Refined Castor Oil,319117,212
2021-05-15,De Oiled Cake,342332,228
2021-05-16,Tirupati Cottonseed Oil,543733,362
2021-05-16,Tirupati Sunflower Oil,265380,176
2021-05-16,Tirupati Groundnut Oil,79929,53
2021-05-16,Tirupati Soybean Oil,253214,168
2021-05-16,Tirupati Mustard Oil,353314,235
2021-05-16,Olixir Olive Oil,477753,318
2021-05-16,Olixir Sesame Oil,398734,265
2021-05-16,Castor Oil,323461,215
2021-05-16,Refined Castor Oil,329641,219
2021-05-16,De Oiled Cake,50701,33
2021-05-17,Tirupati Cottonseed Oil,201767,134
2021-05-17,Tirupati Sunflower Oil,358692,239
2021-05-17,Tirupati Groundnut Oil,451614,301
2021-05-17,Tirupati Soybean Oil,146403,97
2021-05-17,Tirupati Mustard Oil,209609,139
2021-05-17,Olixir Olive Oil,499294,332
2021-05-17,Olixir Sesame Oil,160510,107
2021-05-17,Castor Oil,234789,156
2021-05-17,Refined Castor Oil,256746,171
2021-05-17,De Oiled Cake,109381,72
2021-05-18,Tirupati Cottonseed Oil,538470,358
2021-05-18,Tirupati Sunflower Oil,467870,311
2021-05-18,Tirupati Groundnut Oil,274458,182
2021-05-18,Tirupati Soybean Oil,109852,73
2021-05-18,Tirupati Mustard Oil,54012,36
2021-05-18,Olixir Olive Oil,231440,154
2021-05-18,Olixir Sesame Oil,322279,214
2021-05-18,Castor Oil,338436,225
2021-05-18,Refined Castor Oil,277059,184
2021-05-18,De Oiled Cake,196340,130
2021-05-19,Tirupati Cottonseed Oil,299869,199
2021-05-19,Tirupati Sunflower Oil,444507,296
2021-05-19,Tirupati Groundnut Oil,85485,56
2021-05-19,Tirupati Soybean Oil,419513,279
2021-05-19,Tirupati Mustard Oil,51529,34
2021-05-19,Olixir Olive Oil,252282,168
2021-05-19,Olixir Sesame Oil,321143,214
2021-05-19,Castor Oil,214219,142
2021-05-19,Refined Castor Oil,69076,46
2021-05-19,De Oiled Cake,96557,64
2021-05-20,Tirupati Cottonseed Oil,529531,353
2021-05-20,Tirupati Sunflower Oil,83745,55
2021-05-20,Tirupati Groundnut Oil,413302,275
2021-05-20,Tirupati Soybean Oil,382260,254
2021-05-20,Tirupati Mustard Oil,263521,175
2021-05-20,Olixir Olive Oil,248194,165
2021-05-20,Olixir Sesame Oil,69235,46
2021-05-20,Castor Oil,415441,276
2021-05-20,Refined Castor Oil,52828,35
2021-05-20,De Oiled Cake,457102,304
2021-05-21,Tirupati Cottonseed Oil,452714,301
2021-05-21,Tirupati Sunflower Oil,298186,198
2021-05-21,Tirupati Groundnut Oil,174848,116
2021-05-21,Tirupati Soybean Oil,130333,86
2021-05-21,Tirupati Mustard Oil,343448,228
2021-05-21,Olixir Olive Oil,406355,270
