return_period,doc_type,invoice_no,invoice_date,counterparty_id,counterparty_name,gstin,taxable_value,cgst_amount,sgst_amount,igst_amount,total_tax_amount,gstr2b_status,mismatch_flag,mismatch_reason
2022-04,Sale,S-202204-00062,2022-04-01,C001,Shree Traders Ahmedabad,24CUST0061Z5,66393.6,5975.42,5975.42,0.0,11950.84,N/A,0,
2022-04,Sale,S-202204-00063,2022-04-01,C001,Shree Traders Ahmedabad,24CUST0062Z5,67989.6,6119.06,6119.06,0.0,12238.12,N/A,0,
2022-04,Sale,S-202204-00064,2022-04-01,C001,Shree Traders Ahmedabad,24CUST0063Z5,41296.5,3716.68,3716.68,0.0,7433.36,N/A,0,
2022-04,Sale,S-202204-00065,2022-04-01,C002,West India Distributors Mumbai,27CUST0064Z5,203734.08,0.0,0.0,36672.13,36672.13,N/A,0,
2022-04,Sale,S-202204-00066,2022-04-01,C002,West India Distributors Mumbai,27CUST0065Z5,82368.72,0.0,0.0,14826.37,14826.37,N/A,0,
2022-04,Sale,S-202204-00067,2022-04-01,C002,West India Distributors Mumbai,27CUST0066Z5,81559.83,0.0,0.0,14680.77,14680.77,N/A,0,
2022-04,Sale,S-202204-00068,2022-04-01,C002,West India Distributors Mumbai,27CUST0067Z5,49584.78,0.0,0.0,8925.26,8925.26,N/A,0,
2022-04,Sale,S-202204-00069,2022-04-01,C003,FreshMart Vadodara,24CUST0068Z5,87195.24,7847.57,7847.57,0.0,15695.14,N/A,0,
2022-04,Sale,S-202204-00070,2022-04-01,C003,FreshMart Vadodara,24CUST0069Z5,44488.08,4003.93,4003.93,0.0,8007.86,N/A,0,
2022-04,Sale,S-202204-00071,2022-04-01,C003,FreshMart Vadodara,24CUST0070Z5,42148.44,3793.36,3793.36,0.0,7586.72,N/A,0,
2022-04,Sale,S-202204-00072,2022-04-01,C003,FreshMart Vadodara,24CUST0071Z5,23827.08,2144.44,2144.44,0.0,4288.88,N/A,0,
2022-04,Sale,S-202204-00073,2022-04-01,C004,Pune Retail Mart,27CUST0072Z5,95901.96,0.0,0.0,17262.35,17262.35,N/A,0,
2022-04,Sale,S-202204-00074,2022-04-01,C004,Pune Retail Mart,27CUST0073Z5,38458.56,0.0,0.0,6922.54,6922.54,N/A,0,
2022-04,Sale,S-202204-00075,2022-04-01,C004,Pune Retail Mart,27CUST0074Z5,43250.36,0.0,0.0,7785.06,7785.06,N/A,0,
2022-04,Sale,S-202204-00076,2022-04-01,C004,Pune Retail Mart,27CUST0075Z5,19677.42,0.0,0.0,3541.94,3541.94,N/A,0,
2022-04,Sale,S-202204-00079,2022-04-01,C007,Industrial Chemicals Pvt Ltd,24CUST0078Z5,102432.0,9218.88,9218.88,0.0,18437.76,N/A,0,
2022-04,Sale,S-202204-00080,2022-04-01,C008,Rajkot Agro Feed Traders,24CUST0079Z5,81804.8,7362.43,7362.43,0.0,14724.86,N/A,0,
2022-05,Sale,S-202205-00081,2022-05-01,C001,Shree Traders Ahmedabad,24CUST0080Z5,155621.4,14005.93,14005.93,0.0,28011.86,N/A,0,
2022-05,Sale,S-202205-00082,2022-05-01,C001,Shree Traders Ahmedabad,24CUST0081Z5,75810.0,6822.9,6822.9,0.0,13645.8,N/A,0,
2022-05,Sale,S-202205-00083,2022-05-01,C001,Shree Traders Ahmedabad,24CUST0082Z5,65021.8,5851.96,5851.96,0.0,11703.92,N/A,0,
2022-05,Sale,S-202205-00084,2022-05-01,C001,Shree Traders Ahmedabad,24CUST0083Z5,39198.9,3527.9,3527.9,0.0,7055.8,N/A,0,
2022-05,Sale,S-202205-00085,2022-05-01,C002,West India Distributors Mumbai,27CUST0084Z5,211561.02,0.0,0.0,38080.98,38080.98,N/A,0,
2022-05,Sale,S-202205-00086,2022-05-01,C002,West India Distributors Mumbai,27CUST0085Z5,75678.12,0.0,0.0,13622.06,13622.06,N/A,0,
2022-05,Sale,S-202205-00087,2022-05-01,C002,West India Distributors Mumbai,27CUST0086Z5,83570.55,0.0,0.0,15042.7,15042.7,N/A,0,
2022-05,Sale,S-202205-00088,2022-05-01,C002,West India Distributors Mumbai,27CUST0087Z5,50317.56,0.0,0.0,9057.16,9057.16,N/A,0,
2022-05,Sale,S-202205-00089,2022-05-01,C003,FreshMart Vadodara,24CUST0088Z5,88475.64,7962.81,7962.81,0.0,15925.62,N/A,0,
2022-05,Sale,S-202205-00090,2022-05-01,C003,FreshMart Vadodara,24CUST0089Z5,39925.2,3593.27,3593.27,0.0,7186.54,N/A,0,
2022-05,Sale,S-202205-00091,2022-05-01,C003,FreshMart Vadodara,24CUST0090Z5,44214.54,3979.31,3979.31,0.0,7958.62,N/A,0,
2022-05,Sale,S-202205-00092,2022-05-01,C003,FreshMart Vadodara,24CUST0091Z5,23827.08,2144.44,2144.44,0.0,4288.88,N/A,0,
2022-05,Sale,S-202205-00093,2022-05-01,C004,Pune Retail Mart,27CUST0092Z5,84634.44,0.0,0.0,15234.2,15234.2,N/A,0,
2022-05,Sale,S-202205-00094,2022-05-01,C004,Pune Retail Mart,27CUST0093Z5,37154.88,0.0,0.0,6687.88,6687.88,N/A,0,
2022-05,Sale,S-202205-00095,2022-05-01,C004,Pune Retail Mart,27CUST0094Z5,40082.34,0.0,0.0,7214.82,7214.82,N/A,0,
2022-05,Sale,S-202205-00096,2022-05-01,C004,Pune Retail Mart,27CUST0095Z5,20748.3,0.0,0.0,3734.69,3734.69,N/A,0,
2022-05,Sale,S-202205-00099,2022-05-01,C007,Industrial Chemicals Pvt Ltd,24CUST0098Z5,107088.0,9637.92,9637.92,0.0,19275.84,N/A,0,
2022-05,Sale,S-202205-00100,2022-05-01,C008,Rajkot Agro Feed Traders,24CUST0099Z5,85523.2,7697.09,7697.09,0.0,15394.18,N/A,0,
2022-06,Sale,S-202206-00101,2022-06-01,C001,Shree Traders Ahmedabad,24CUST0100Z5,174055.2,15664.97,15664.97,0.0,31329.94,N/A,0,
2022-06,Sale,S-202206-00102,2022-06-01,C001,Shree Traders Ahmedabad,24CUST0101Z5,68947.2,6205.25,6205.25,0.0,12410.5,N/A,0,
2022-06,Sale,S-202206-00103,2022-06-01,C001,Shree Traders Ahmedabad,24CUST0102Z5,66235.9,5961.23,5961.23,0.0,11922.46,N/A,0,
2022-06,Sale,S-202206-00104,2022-06-01,C001,Shree Traders Ahmedabad,24CUST0103Z5,37232.4,3350.92,3350.92,0.0,6701.84,N/A,0,
2022-06,Sale,S-202206-00105,2022-06-01,C002,West India Distributors Mumbai,27CUST0104Z5,195206.22,0.0,0.0,35137.12,35137.12,N/A,0,
2022-06,Sale,S-202206-00106,2022-06-01,C002,West India Distributors Mumbai,27CUST0105Z5,83112.12,0.0,0.0,14960.18,14960.18,N/A,0,
2022-06,Sale,S-202206-00107,2022-06-01,C002,West India Distributors Mumbai,27CUST0106Z5,92493.12,0.0,0.0,16648.76,16648.76,N/A,0,
2022-06,Sale,S-202206-00108,2022-06-01,C002,West India Distributors Mumbai,27CUST0107Z5,53737.2,0.0,0.0,9672.7,9672.7,N/A,0,
2022-06,Sale,S-202206-00109,2022-06-01,C003,FreshMart Vadodara,24CUST0108Z5,88859.76,7997.38,7997.38,0.0,15994.76,N/A,0,
2022-06,Sale,S-202206-00110,2022-06-01,C003,FreshMart Vadodara,24CUST0109Z5,34873.44,3138.61,3138.61,0.0,6277.22,N/A,0,
2022-06,Sale,S-202206-00111,2022-06-01,C003,FreshMart Vadodara,24CUST0110Z5,38704.94,3483.44,3483.44,0.0,6966.88,N/A,0,
2022-06,Sale,S-202206-00112,2022-06-01,C003,FreshMart Vadodara,24CUST0111Z5,23693.22,2132.39,2132.39,0.0,4264.78,N/A,0,
2022-06,Sale,S-202206-00113,2022-06-01,C004,Pune Retail Mart,27CUST0112Z5,85658.76,0.0,0.0,15418.58,15418.58,N/A,0,
2022-06,Sale,S-202206-00114,2022-06-01,C004,Pune Retail Mart,27CUST0113Z5,37643.76,0.0,0.0,6775.88,6775.88,N/A,0,
2022-06,Sale,S-202206-00115,2022-06-01,C004,Pune Retail Mart,27CUST0114Z5,39806.86,0.0,0.0,7165.23,7165.23,N/A,0,
2022-06,Sale,S-202206-00116,2022-06-01,C004,Pune Retail Mart,27CUST0115Z5,21283.74,0.0,0.0,3831.07,3831.07,N/A,0,
2022-06,Sale,S-202206-00119,2022-06-01,C007,Industrial Chemicals Pvt Ltd,24CUST0118Z5,111744.0,10056.96,10056.96,0.0,20113.92,N/A,0,
2022-06,Sale,S-202206-00120,2022-06-01,C008,Rajkot Agro Feed Traders,24CUST0119Z5,72774.4,6549.7,6549.7,0.0,13099.4,N/A,0,
2022-07,Sale,S-202207-00121,2022-07-01,C001,Shree Traders Ahmedabad,24CUST0120Z5,143708.4,12933.76,12933.76,0.0,25867.52,N/A,0,
2022-07,Sale,S-202207-00122,2022-07-01,C001,Shree Traders Ahmedabad,24CUST0121Z5,63680.4,5731.24,5731.24,0.0,11462.48,N/A,0,
2022-07,Sale,S-202207-00123,2022-07-01,C001,Shree Traders Ahmedabad,24CUST0122Z5,63672.8,5730.55,5730.55,0.0,11461.1,N/A,0,
2022-07,Sale,S-202207-00124,2022-07-01,C001,Shree Traders Ahmedabad,24CUST0123Z5,33954.9,3055.94,3055.94,0.0,6111.88,N/A,0,
2022-07,Sale,S-202207-00125,2022-07-01,C002,West India Distributors Mumbai,27CUST0124Z5,198477.18,0.0,0.0,35725.89,35725.89,N/A,0,
2022-07,Sale,S-202207-00126,2022-07-01,C002,West India Distributors Mumbai,27CUST0125Z5,81922.68,0.0,0.0,14746.08,14746.08,N/A,0,
2022-07,Sale,S-202207-00127,2022-07-01,C002,West India Distributors Mumbai,27CUST0126Z5,89979.72,0.0,0.0,16196.35,16196.35,N/A,0,
2022-07,Sale,S-202207-00128,2022-07-01,C002,West India Distributors Mumbai,27CUST0127Z5,47508.57,0.0,0.0,8551.54,8551.54,N/A,0,
2022-07,Sale,S-202207-00129,2022-07-01,C003,FreshMart Vadodara,24CUST0128Z5,82969.92,7467.29,7467.29,0.0,14934.58,N/A,0,
2022-07,Sale,S-202207-00130,2022-07-01,C003,FreshMart Vadodara,24CUST0129Z5,44325.12,3989.26,3989.26,0.0,7978.52,N/A,0,
2022-07,Sale,S-202207-00131,2022-07-01,C003,FreshMart Vadodara,24CUST0130Z5,42010.7,3780.96,3780.96,0.0,7561.92,N/A,0,
2022-07,Sale,S-202207-00132,2022-07-01,C003,FreshMart Vadodara,24CUST0131Z5,22488.48,2023.96,2023.96,0.0,4047.92,N/A,0,
2022-07,Sale,S-202207-00133,2022-07-01,C004,Pune Retail Mart,27CUST0132Z5,77464.2,0.0,0.0,13943.56,13943.56,N/A,0,
2022-07,Sale,S-202207-00134,2022-07-01,C004,Pune Retail Mart,27CUST0133Z5,33080.88,0.0,0.0,5954.56,5954.56,N/A,0,
2022-07,Sale,S-202207-00135,2022-07-01,C004,Pune Retail Mart,27CUST0134Z5,42148.44,0.0,0.0,7586.72,7586.72,N/A,0,
2022-07,Sale,S-202207-00136,2022-07-01,C004,Pune Retail Mart,27CUST0135Z5,17535.66,0.0,0.0,3156.42,3156.42,N/A,0,
2022-07,Sale,S-202207-00139,2022-07-01,C007,Industrial Chemicals Pvt Ltd,24CUST0138Z5,97776.0,8799.84,8799.84,0.0,17599.68,N/A,0,
2022-07,Sale,S-202207-00140,2022-07-01,C008,Rajkot Agro Feed Traders,24CUST0139Z5,78617.6,7075.58,7075.58,0.0,14151.16,N/A,0,
2022-08,Sale,S-202208-00141,2022-08-01,C001,Shree Traders Ahmedabad,24CUST0140Z5,153740.4,13836.64,13836.64,0.0,27673.28,N/A,0,
2022-08,Sale,S-202208-00142,2022-08-01,C001,Shree Traders Ahmedabad,24CUST0141Z5,60169.2,5415.23,5415.23,0.0,10830.46,N/A,0,
2022-08,Sale,S-202208-00143,2022-08-01,C001,Shree Traders Ahmedabad,24CUST0142Z5,54364.7,4892.82,4892.82,0.0,9785.64,N/A,0,
2022-08,Sale,S-202208-00144,2022-08-01,C001,Shree Traders Ahmedabad,24CUST0143Z5,37494.6,3374.51,3374.51,0.0,6749.02,N/A,0,
2022-08,Sale,S-202208-00145,2022-08-01,C002,West India Distributors Mumbai,27CUST0144Z5,174295.44,0.0,0.0,31373.18,31373.18,N/A,0,
2022-08,Sale,S-202208-00146,2022-08-01,C002,West India Distributors Mumbai,27CUST0145Z5,75678.12,0.0,0.0,13622.06,13622.06,N/A,0,
2022-08,Sale,S-202208-00147,2022-08-01,C002,West India Distributors Mumbai,27CUST0146Z5,89854.05,0.0,0.0,16173.73,16173.73,N/A,0,
2022-08,Sale,S-202208-00148,2022-08-01,C002,West India Distributors Mumbai,27CUST0147Z5,48607.74,0.0,0.0,8749.39,8749.39,N/A,0,
2022-08,Sale,S-202208-00149,2022-08-01,C003,FreshMart Vadodara,24CUST0148Z5,77336.16,6960.25,6960.25,0.0,13920.5,N/A,0,
2022-08,Sale,S-202208-00150,2022-08-01,C003,FreshMart Vadodara,24CUST0149Z5,33406.8,3006.61,3006.61,0.0,6013.22,N/A,0,
2022-08,Sale,S-202208-00151,2022-08-01,C003,FreshMart Vadodara,24CUST0150Z5,35950.14,3235.51,3235.51,0.0,6471.02,N/A,0,
2022-08,Sale,S-202208-00152,2022-08-01,C003,FreshMart Vadodara,24CUST0151Z5,22890.06,2060.11,2060.11,0.0,4120.22,N/A,0,
2022-08,Sale,S-202208-00153,2022-08-01,C004,Pune Retail Mart,27CUST0152Z5,93981.36,0.0,0.0,16916.64,16916.64,N/A,0,
2022-08,Sale,S-202208-00154,2022-08-01,C004,Pune Retail Mart,27CUST0153Z5,36177.12,0.0,0.0,6511.88,6511.88,N/A,0,
2022-08,Sale,S-202208-00155,2022-08-01,C004,Pune Retail Mart,27CUST0154Z5,39531.38,0.0,0.0,7115.65,7115.65,N/A,0,
2022-08,Sale,S-202208-00156,2022-08-01,C004,Pune Retail Mart,27CUST0155Z5,19141.98,0.0,0.0,3445.56,3445.56,N/A,0,
2022-08,Sale,S-202208-00159,2022-08-01,C007,Industrial Chemicals Pvt Ltd,24CUST0158Z5,79152.0,7123.68,7123.68,0.0,14247.36,N/A,0,
2022-08,Sale,S-202208-00160,2022-08-01,C008,Rajkot Agro Feed Traders,24CUST0159Z5,69587.2,6262.85,6262.85,0.0,12525.7,N/A,0,
2022-09,Sale,S-202209-00161,2022-09-01,C001,Shree Traders Ahmedabad,24CUST0160Z5,181704.6,16353.41,16353.41,0.0,32706.82,N/A,0,
2022-09,Sale,S-202209-00162,2022-09-01,C001,Shree Traders Ahmedabad,24CUST0161Z5,60328.8,5429.59,5429.59,0.0,10859.18,N/A,0,
2022-09,Sale,S-202209-00163,2022-09-01,C001,Shree Traders Ahmedabad,24CUST0162Z5,74195.0,6677.55,6677.55,0.0,13355.1,N/A,0,
2022-09,Sale,S-202209-00164,2022-09-01,C001,Shree Traders Ahmedabad,24CUST0163Z5,35397.0,3185.73,3185.73,0.0,6371.46,N/A,0,
2022-09,Sale,S-202209-00165,2022-09-01,C002,West India Distributors Mumbai,27CUST0164Z5,182823.3,0.0,0.0,32908.19,32908.19,N/A,0,
2022-09,Sale,S-202209-00166,2022-09-01,C002,West India Distributors Mumbai,27CUST0165Z5,83855.52,0.0,0.0,15093.99,15093.99,N/A,0,
2022-09,Sale,S-202209-00167,2022-09-01,C002,West India Distributors Mumbai,27CUST0166Z5,92870.13,0.0,0.0,16716.62,16716.62,N/A,0,
2022-09,Sale,S-202209-00168,2022-09-01,C002,West India Distributors Mumbai,27CUST0167Z5,47386.44,0.0,0.0,8529.56,8529.56,N/A,0,
2022-09,Sale,S-202209-00169,2022-09-01,C003,FreshMart Vadodara,24CUST0168Z5,94621.56,8515.94,8515.94,0.0,17031.88,N/A,0,
2022-09,Sale,S-202209-00170,2022-09-01,C003,FreshMart Vadodara,24CUST0169Z5,33895.68,3050.61,3050.61,0.0,6101.22,N/A,0,
2022-09,Sale,S-202209-00171,2022-09-01,C003,FreshMart Vadodara,24CUST0170Z5,41459.74,3731.38,3731.38,0.0,7462.76,N/A,0,
2022-09,Sale,S-202209-00172,2022-09-01,C003,FreshMart Vadodara,24CUST0171Z5,23827.08,2144.44,2144.44,0.0,4288.88,N/A,0,
2022-09,Sale,S-202209-00173,2022-09-01,C004,Pune Retail Mart,27CUST0172Z5,88731.72,0.0,0.0,15971.71,15971.71,N/A,0,
2022-09,Sale,S-202209-00174,2022-09-01,C004,Pune Retail Mart,27CUST0173Z5,34221.6,0.0,0.0,6159.89,6159.89,N/A,0,
2022-09,Sale,S-202209-00175,2022-09-01,C004,Pune Retail Mart,27CUST0174Z5,36914.32,0.0,0.0,6644.58,6644.58,N/A,0,
2022-09,Sale,S-202209-00176,2022-09-01,C004,Pune Retail Mart,27CUST0175Z5,22756.2,0.0,0.0,4096.12,4096.12,N/A,0,
2022-09,Sale,S-202209-00179,2022-09-01,C007,Industrial Chemicals Pvt Ltd,24CUST0178Z5,107088.0,9637.92,9637.92,0.0,19275.84,N/A,0,
2022-09,Sale,S-202209-00180,2022-09-01,C008,Rajkot Agro Feed Traders,24CUST0179Z5,76492.8,6884.35,6884.35,0.0,13768.7,N/A,0,
2022-10,Sale,S-202210-00181,2022-10-01,C001,Shree Traders Ahmedabad,24CUST0180Z5,190090.56,17108.15,17108.15,0.0,34216.3,N/A,0,
2022-10,Sale,S-202210-00182,2022-10-01,C001,Shree Traders Ahmedabad,24CUST0181Z5,78960.0,7106.4,7106.4,0.0,14212.8,N/A,0,
2022-10,Sale,S-202210-00183,2022-10-01,C001,Shree Traders Ahmedabad,24CUST0182Z5,82693.7,7442.43,7442.43,0.0,14884.86,N/A,0,
2022-10,Sale,S-202210-00184,2022-10-01,C001,Shree Traders Ahmedabad,24CUST0183Z5,45272.28,4074.51,4074.51,0.0,8149.02,N/A,0,
2022-10,Sale,S-202210-00185,2022-10-01,C002,West India Distributors Mumbai,27CUST0184Z5,242203.5,0.0,0.0,43596.63,43596.63,N/A,0,
2022-10,Sale,S-202210-00186,2022-10-01,C002,West India Distributors Mumbai,27CUST0185Z5,100107.0,0.0,0.0,18019.26,18019.26,N/A,0,
2022-10,Sale,S-202210-00187,2022-10-01,C002,West India Distributors Mumbai,27CUST0186Z5,119009.49,0.0,0.0,21421.71,21421.71,N/A,0,
2022-10,Sale,S-202210-00188,2022-10-01,C002,West India Distributors Mumbai,27CUST0187Z5,56994.0,0.0,0.0,10258.92,10258.92,N/A,0,
2022-10,Sale,S-202210-00189,2022-10-01,C003,FreshMart Vadodara,24CUST0188Z5,101756.16,9158.05,9158.05,0.0,18316.1,N/A,0,
2022-10,Sale,S-202210-00190,2022-10-01,C003,FreshMart Vadodara,24CUST0189Z5,43061.76,3875.56,3875.56,0.0,7751.12,N/A,0,
