InvoiceID,Customer,Amount_INR,DaysOverdue,Status
INV-10074,Gujarat Supermarkets,142539,-10,Paid
INV-10075,Rajasthan Traders,83843,3,Pending
INV-10076,Rajasthan Traders,70310,32,Pending
INV-10077,Punjab Distributors,47342,63,Pending
INV-10078,Gujarat Supermarkets,94402,58,Pending
INV-10079,Mumbai Fresh Mart,14551,50,Pending
INV-10080,Mumbai Fresh Mart,376056,-1,Paid
INV-10081,Punjab Distributors,80832,69,Pending
INV-10082,Punjab Distributors,80770,25,Pending
INV-10083,Rajasthan Traders,13596,42,Pending
INV-10084,Punjab Distributors,69568,16,Pending
INV-10085,Mumbai Fresh Mart,14552,92,Pending
INV-10086,Rajasthan Traders,26319,94,Pending
INV-10087,Gujarat Supermarkets,23641,55,Pending
INV-10088,Delhi Mega Stores,345058,-8,Paid
INV-10089,Punjab Distributors,57271,56,Pending
INV-10090,Rajasthan Traders,78042,104,Pending
INV-10091,Punjab Distributors,83394,95,Pending
INV-10092,Delhi Mega Stores,78297,89,Pending
INV-10093,Gujarat Supermarkets,72172,29,Pending
INV-10094,Delhi Mega Stores,12877,75,Pending
INV-10095,Delhi Mega Stores,45785,84,Pending
INV-10096,Mumbai Fresh Mart,65745,32,Pending
INV-10097,Rajasthan Traders,81313,98,Pending
INV-10098,Rajasthan Traders,88986,28,Pending
INV-10099,Mumbai Fresh Mart,69612,14,Pending
INV-10100,Delhi Mega Stores,133444,0,Paid
INV-10101,Mumbai Fresh Mart,43440,109,Pending
INV-10102,Gujarat Supermarkets,11946,37,Pending
INV-10103,Gujarat Supermarkets,13110,62,Pending
INV-10104,Rajasthan Traders,97126,58,Pending
INV-10105,Rajasthan Traders,47942,10,Pending
INV-10106,Rajasthan Traders,96722,96,Pending
INV-10107,Gujarat Supermarkets,141347,-10,Paid
INV-10108,Punjab Distributors,28439,103,Pending
INV-10109,Mumbai Fresh Mart,91309,41,Pending
INV-10110,Gujarat Supermarkets,42536,75,Pending
INV-10111,Punjab Distributors,35780,73,Pending
INV-10112,Punjab Distributors,447649,-1,Paid
INV-10113,Rajasthan Traders,40943,87,Pending
INV-10114,Rajasthan Traders,24987,95,Pending
INV-10115,Delhi Mega Stores,81196,81,Pending
INV-10116,Punjab Distributors,45909,81,Pending
INV-10117,Delhi Mega Stores,44704,76,Pending
INV-10118,Mumbai Fresh Mart,316851,-4,Paid
INV-10119,Gujarat Supermarkets,52228,39,Pending
INV-10120,Delhi Mega Stores,16768,99,Pending
INV-10121,Rajasthan Traders,422499,-2,Paid
INV-10122,Gujarat Supermarkets,37652,50,Pending
INV-10123,Rajasthan Traders,52203,48,Pending
INV-10124,Delhi Mega Stores,56083,90,Pending
INV-10125,Gujarat Supermarkets,12062,1,Pending
INV-10126,Punjab Distributors,57334,54,Pending
INV-10127,Mumbai Fresh Mart,34276,65,Pending
INV-10128,Mumbai Fresh Mart,72733,78,Pending
INV-10129,Punjab Distributors,99642,-5,Paid
INV-10130,Mumbai Fresh Mart,26472,115,Pending
INV-10131,Mumbai Fresh Mart,84241,86,Pending
INV-10132,Rajasthan Traders,64795,60,Pending
INV-10133,Mumbai Fresh Mart,31600,-6,Paid
INV-10134,Rajasthan Traders,94908,32,Pending
INV-10135,Rajasthan Traders,40464,91,Pending
INV-10136,Rajasthan Traders,54936,-1,Paid
INV-10137,Mumbai Fresh Mart,34428,111,Pending
INV-10138,Mumbai Fresh Mart,16566,32,Pending
INV-10139,Gujarat Supermarkets,49729,98,Pending
INV-10140,Punjab Distributors,85375,48,Pending
INV-10141,Rajasthan Traders,252106,-5,Paid
INV-10142,Rajasthan Traders,24544,64,Pending
INV-10143,Rajasthan Traders,88543,71,Pending
INV-10144,Punjab Distributors,58883,-4,Paid
INV-10145,Gujarat Supermarkets,495774,-5,Paid
INV-10146,Delhi Mega Stores,285362,-7,Paid
INV-10147,Punjab Distributors,99633,12,Pending
INV-10148,Mumbai Fresh Mart,57324,92,Pending
INV-10149,Gujarat Supermarkets,42332,95,Pending
INV-10150,Punjab Distributors,25775,118,Pending
INV-10151,Mumbai Fresh Mart,72554,71,Pending
INV-10152,Delhi Mega Stores,74131,47,Pending
INV-10153,Delhi Mega Stores,67713,46,Pending
INV-10154,Mumbai Fresh Mart,66205,80,Pending
INV-10155,Gujarat Supermarkets,87790,85,Pending
INV-10156,Gujarat Supermarkets,57202,47,Pending
INV-10157,Mumbai Fresh Mart,75846,94,Pending
INV-10158,Punjab Distributors,92714,54,Pending
INV-10159,Punjab Distributors,215971,-8,Paid
INV-10160,Punjab Distributors,59909,-2,Paid
INV-10161,Punjab Distributors,35285,57,Pending
INV-10162,Mumbai Fresh Mart,37330,-9,Paid
INV-10163,Gujarat Supermarkets,37820,83,Pending
INV-10164,Mumbai Fresh Mart,426787,-6,Paid
INV-10165,Delhi Mega Stores,40987,36,Pending
INV-10166,Gujarat Supermarkets,279577,-2,Paid
INV-10167,Delhi Mega Stores,89950,58,Pending
INV-10168,Mumbai Fresh Mart,27567,94,Pending
INV-10169,Delhi Mega Stores,64773,54,Pending
INV-10170,Delhi Mega Stores,27433,25,Pending
INV-10171,Mumbai Fresh Mart,84841,11,Pending
INV-10172,Mumbai Fresh Mart,43035,57,Pending
INV-10173,Punjab Distributors,34042,32,Pending
INV-10174,Delhi Mega Stores,79016,42,Pending
INV-10175,Mumbai Fresh Mart,63038,9,Pending
INV-10176,Rajasthan Traders,16995,107,Pending
INV-10177,Gujarat Supermarkets,48507,112,Pending
INV-10178,Punjab Distributors,60525,113,Pending
INV-10179,Mumbai Fresh Mart,21261,53,Pending
INV-10180,Punjab Distributors,94345,50,Pending
INV-10181,Delhi Mega Stores,36467,60,Pending
INV-10182,Delhi Mega Stores,77741,50,Pending
INV-10183,Gujarat Supermarkets,20355,119,Pending
INV-10184,Delhi Mega Stores,50868,80,Pending
INV-10185,Delhi Mega Stores,19172,38,Pending
INV-10186,Punjab Distributors,57612,91,Pending
INV-10187,Rajasthan Traders,37924,63,Pending
INV-10188,Mumbai Fresh Mart,40609,13,Pending
INV-10189,Delhi Mega Stores,77337,22,Pending
INV-10190,Rajasthan Traders,185865,-7,Paid
INV-10191,Gujarat Supermarkets,35784,81,Pending
INV-10192,Mumbai Fresh Mart,85141,29,Pending
INV-10193,Punjab Distributors,51618,65,Pending
INV-10194,Mumbai Fresh Mart,78469,98,Pending
INV-10195,Mumbai Fresh Mart,96104,54,Pending
INV-10196,Mumbai Fresh Mart,77462,79,Pending
INV-10197,Rajasthan Traders,38349,79,Pending
INV-10198,Punjab Distributors,96302,29,Pending
INV-10199,Delhi Mega Stores,50458,43,Pending
INV-10200,Rajasthan Traders,18029,92,Pending
INV-10201,Gujarat Supermarkets,41141,92,Pending
INV-10202,Rajasthan Traders,79232,99,Pending
INV-10203,Mumbai Fresh Mart,49193,36,Pending
INV-10204,Gujarat Supermarkets,27654,38,Pending
INV-10205,Punjab Distributors,80158,52,Pending
INV-10206,Gujarat Supermarkets,27339,6,Pending
INV-10207,Punjab Distributors,95890,101,Pending
INV-10208,Mumbai Fresh Mart,53482,119,Pending
INV-10209,Rajasthan Traders,39606,38,Pending
INV-10210,Mumbai Fresh Mart,85923,21,Pending
INV-10211,Rajasthan Traders,74395,97,Pending
INV-10212,Delhi Mega Stores,82485,72,Pending
INV-10213,Delhi Mega Stores,14997,55,Pending
INV-10214,Delhi Mega Stores,387282,-5,Paid
INV-10215,Gujarat Supermarkets,181853,0,Paid
INV-10216,Rajasthan Traders,61432,32,Pending
INV-10217,Delhi Mega Stores,65072,69,Pending
INV-10218,Delhi Mega Stores,14268,33,Pending
INV-10219,Rajasthan Traders,36413,103,Pending
INV-10220,Delhi Mega Stores,31141,62,Pending
INV-10221,Rajasthan Traders,80311,75,Pending
INV-10222,Punjab Distributors,88788,112,Pending
INV-10223,Gujarat Supermarkets,10915,33,Pending
INV-10224,Gujarat Supermarkets,32396,119,Pending
INV-10225,Gujarat Supermarkets,99575,65,Pending
INV-10226,Delhi Mega Stores,84384,27,Pending
INV-10227,Delhi Mega Stores,95184,101,Pending
INV-10228,Mumbai Fresh Mart,14138,25,Pending
INV-10229,Punjab Distributors,75415,25,Pending
INV-10230,Delhi Mega Stores,16497,106,Pending
INV-10231,Delhi Mega Stores,13827,44,Pending
INV-10232,Delhi Mega Stores,86996,19,Pending
INV-10233,Mumbai Fresh Mart,53264,108,Pending
INV-10234,Mumbai Fresh Mart,43791,65,Pending
INV-10235,Rajasthan Traders,24058,88,Pending
INV-10236,Rajasthan Traders,73325,67,Pending
INV-10237,Delhi Mega Stores,82169,117,Pending
INV-10238,Gujarat Supermarkets,62521,47,Pending
INV-10239,Delhi Mega Stores,90885,117,Pending
INV-10240,Mumbai Fresh Mart,42214,22,Pending
INV-10241,Punjab Distributors,77069,-3,Paid
INV-10242,Delhi Mega Stores,33901,29,Pending
INV-10243,Delhi Mega Stores,71441,117,Pending
INV-10244,Mumbai Fresh Mart,96195,55,Pending
INV-10245,Punjab Distributors,46820,14,Pending
INV-10246,Mumbai Fresh Mart,23609,100,Pending
INV-10247,Rajasthan Traders,19768,111,Pending
INV-10248,Mumbai Fresh Mart,46394,11,Pending
INV-10249,Delhi Mega Stores,32093,103,Pending
INV-10250,Delhi Mega Stores,63651,106,Pending
INV-10251,Delhi Mega Stores,50867,92,Pending
INV-10252,Rajasthan Traders,46865,99,Pending
INV-10253,Gujarat Supermarkets,20476,12,Pending
INV-10254,Rajasthan Traders,289130,-4,Paid
INV-10255,Rajasthan Traders,12066,104,Pending
INV-10256,Punjab Distributors,22433,64,Pending
INV-10257,Punjab Distributors,38519,49,Pending
INV-10258,Rajasthan Traders,90955,98,Pending
INV-10259,Gujarat Supermarkets,85263,19,Pending
INV-10260,Punjab Distributors,29477,101,Pending
INV-10261,Gujarat Supermarkets,66102,66,Pending
INV-10262,Delhi Mega Stores,22504,33,Pending
INV-10263,Gujarat Supermarkets,12106,37,Pending
INV-10264,Rajasthan Traders,34321,67,Pending
INV-10265,Gujarat Supermarkets,98031,49,Pending
INV-10266,Mumbai Fresh Mart,35606,67,Pending
INV-10267,Punjab Distributors,69661,70,Pending
INV-10268,Mumbai Fresh Mart,73954,107,Pending
INV-10269,Gujarat Supermarkets,50622,10,Pending
INV-10270,Rajasthan Traders,26579,4,Pending
INV-10271,Mumbai Fresh Mart,64569,32,Pending
INV-10272,Punjab Distributors,66858,57,Pending
INV-10273,Mumbai Fresh Mart,37929,54,Pending
INV-10274,Gujarat Supermarkets,12494,27,Pending
INV-10275,Delhi Mega Stores,20913,105,Pending
INV-10276,Punjab Distributors,27263,118,Pending
INV-10277,Rajasthan Traders,64532,75,Pending
INV-10278,Rajasthan Traders,26232,117,Pending
INV-10279,Punjab Distributors,64172,97,Pending
INV-10280,Rajasthan Traders,82833,119,Pending
INV-10281,Mumbai Fresh Mart,52926,1,Pending
INV-10282,Punjab Distributors,13755,72,Pending
INV-10283,Rajasthan Traders,55329,53,Pending
INV-10284,Gujarat Supermarkets,49760,93,Pending
INV-10285,Mumbai Fresh Mart,19245,31,Pending
INV-10286,Punjab Distributors,43336,51,Pending
INV-10287,Delhi Mega Stores,88593,119,Pending
INV-10288,Mumbai Fresh Mart,67719,66,Pending
INV-10289,Gujarat Supermarkets,43405,2,Pending
INV-10290,Rajasthan Traders,67195,7,Pending
INV-10291,Rajasthan Traders,96687,30,Pending
INV-10292,Mumbai Fresh Mart,12861,47,Pending
INV-10293,Punjab Distributors,451883,-9,Paid
INV-10294,Delhi Mega Stores,90894,89,Pending
INV-10295,Gujarat Supermarkets,59537,29,Pending
INV-10296,Punjab Distributors,14835,104,Pending
INV-10297,Punjab Distributors,100858,-1,Paid
INV-10298,Gujarat Supermarkets,98587,116,Pending
INV-10299,Rajasthan Traders,66018,70,Pending
INV-10300,Punjab Distributors,14117,86,Pending
INV-10301,Punjab Distributors,41019,35,Pending
INV-10302,Mumbai Fresh Mart,35663,5,Pending
INV-10303,Mumbai Fresh Mart,237116,-6,Paid
INV-10304,Delhi Mega Stores,54693,35,Pending
INV-10305,Delhi Mega Stores,80711,18,Pending
INV-10306,Rajasthan Traders,74229,64,Pending
INV-10307,Delhi Mega Stores,67365,30,Pending
INV-10308,Rajasthan Traders,36509,31,Pending
INV-10309,Delhi Mega Stores,26226,51,Pending
INV-10310,Punjab Distributors,39786,24,Pending
INV-10311,Mumbai Fresh Mart,68617,112,Pending
INV-10312,Punjab Distributors,49240,62,Pending
INV-10313,Rajasthan Traders,12395,47,Pending
INV-10314,Gujarat Supermarkets,207272,-3,Paid
INV-10315,Mumbai Fresh Mart,64689,2,Pending
INV-10316,Gujarat Supermarkets,65203,30,Pending
INV-10317,Delhi Mega Stores,35945,48,Pending
INV-10318,Rajasthan Traders,53740,70,Pending
INV-10319,Gujarat Supermarkets,56446,36,Pending
INV-10320,Delhi Mega Stores,30557,94,Pending
INV-10321,Rajasthan Traders,27340,1,Pending
INV-10322,Delhi Mega Stores,49311,115,Pending
INV-10323,Punjab Distributors,25963,91,Pending
INV-10324,Rajasthan Traders,29966,110,Pending
INV-10325,Mumbai Fresh Mart,406269,-3,Paid
INV-10326,Delhi Mega Stores,90837,58,Pending
INV-10327,Gujarat Supermarkets,70287,72,Pending
INV-10328,Punjab Distributors,46328,21,Pending
INV-10329,Rajasthan Traders,55360,31,Pending
INV-10330,Mumbai Fresh Mart,22025,32,Pending
INV-10331,Punjab Distributors,79768,55,Pending
INV-10332,Rajasthan Traders,97092,116,Pending
INV-10333,Punjab Distributors,365061,-4,Paid
INV-10334,Delhi Mega Stores,58687,16,Pending
INV-10335,Gujarat Supermarkets,22824,111,Pending
INV-10336,Gujarat Supermarkets,70033,115,Pending
INV-10337,Punjab Distributors,78118,118,Pending
INV-10338,Punjab Distributors,96233,95,Pending
INV-10339,Gujarat Supermarkets,430235,-8,Paid
INV-10340,Rajasthan Traders,64240,106,Pending
INV-10341,Delhi Mega Stores,28130,21,Pending
INV-10342,Punjab Distributors,71125,19,Pending
INV-10343,Rajasthan Traders,82400,110,Pending
INV-10344,Gujarat Supermarkets,39415,5,Pending
INV-10345,Punjab Distributors,40938,43,Pending
INV-10346,Mumbai Fresh Mart,33141,29,Pending
INV-10347,Rajasthan Traders,99538,104,Pending
INV-10348,Delhi Mega Stores,59250,119,Pending
INV-10349,Rajasthan Traders,51164,39,Pending
INV-10350,Delhi Mega Stores,42954,95,Pending
INV-10351,Delhi Mega Stores,12692,24,Pending
INV-10352,Punjab Distributors,19647,14,Pending
INV-10353,Rajasthan Traders,82564,71,Pending
INV-10354,Rajasthan Traders,78018,82,Pending
INV-10355,Rajasthan Traders,19460,82,Pending
INV-10356,Punjab Distributors,82207,23,Pending
INV-10357,Rajasthan Traders,83078,63,Pending
INV-10358,Gujarat Supermarkets,47688,61,Pending
INV-10359,Mumbai Fresh Mart,28672,109,Pending
INV-10360,Mumbai Fresh Mart,76789,61,Pending
INV-10361,Rajasthan Traders,31651,104,Pending
INV-10362,Mumbai Fresh Mart,44220,-7,Paid
INV-10363,Gujarat Supermarkets,18140,11,Pending
INV-10364,Mumbai Fresh Mart,11889,23,Pending
INV-10365,Delhi Mega Stores,19743,29,Pending
INV-10366,Punjab Distributors,79051,100,Pending
INV-10367,Punjab Distributors,23871,117,Pending
INV-10368,Delhi Mega Stores,65848,105,Pending
INV-10369,Mumbai Fresh Mart,99980,101,Pending
INV-10370,Mumbai Fresh Mart,17330,79,Pending
INV-10371,Mumbai Fresh Mart,98684,15,Pending
INV-10372,Gujarat Supermarkets,78400,97,Pending
INV-10373,Rajasthan Traders,17510,8,Pending
INV-10374,Punjab Distributors,59695,3,Pending
INV-10375,Mumbai Fresh Mart,321191,-9,Paid
INV-10376,Mumbai Fresh Mart,85563,120,Pending
INV-10377,Delhi Mega Stores,44303,50,Pending
INV-10378,Mumbai Fresh Mart,27651,37,Pending
INV-10379,Punjab Distributors,98863,115,Pending
INV-10380,Punjab Distributors,54910,16,Pending
INV-10381,Mumbai Fresh Mart,24916,27,Pending
INV-10382,Punjab Distributors,23166,32,Pending
INV-10383,Gujarat Supermarkets,98418,33,Pending
INV-10384,Delhi Mega Stores,24102,27,Pending
INV-10385,Mumbai Fresh Mart,24318,23,Pending
INV-10386,Gujarat Supermarkets,91817,50,Pending
INV-10387,Delhi Mega Stores,74791,107,Pending
INV-10388,Rajasthan Traders,64920,30,Pending
INV-10389,Delhi Mega Stores,75302,25,Pending
INV-10390,Punjab Distributors,68890,6,Pending
INV-10391,Mumbai Fresh Mart,66200,49,Pending
INV-10392,Delhi Mega Stores,84805,66,Pending
INV-10393,Rajasthan Traders,42337,116,Pending
INV-10394,Delhi Mega Stores,62410,90,Pending
INV-10395,Delhi Mega Stores,38647,19,Pending
INV-10396,Punjab Distributors,69693,26,Pending
INV-10397,Gujarat Supermarkets,40993,-7,Paid
INV-10398,Mumbai Fresh Mart,47003,79,Pending
INV-10399,Rajasthan Traders,44990,35,Pending
INV-10400,Delhi Mega Stores,28531,83,Pending
INV-10401,Gujarat Supermarkets,26351,96,Pending
INV-10402,Mumbai Fresh Mart,31299,68,Pending
INV-10403,Punjab Distributors,254952,-6,Paid
INV-10404,Gujarat Supermarkets,14193,1,Pending
INV-10405,Punjab Distributors,61486,63,Pending
INV-10406,Gujarat Supermarkets,98862,49,Pending
INV-10407,Rajasthan Traders,83070,64,Pending
INV-10408,Mumbai Fresh Mart,73185,76,Pending
INV-10409,Gujarat Supermarkets,161453,-6,Paid
INV-10410,Gujarat Supermarkets,54674,87,Pending
INV-10411,Mumbai Fresh Mart,35355,2,Pending
INV-10412,Mumbai Fresh Mart,55090,39,Pending
INV-10413,Mumbai Fresh Mart,65380,16,Pending
INV-10414,Mumbai Fresh Mart,44597,0,Paid
INV-10415,Delhi Mega Stores,95432,61,Pending
INV-10416,Punjab Distributors,99221,61,Pending
INV-10417,Delhi Mega Stores,33883,56,Pending
INV-10418,Gujarat Supermarkets,58451,3,Pending
INV-10419,Mumbai Fresh Mart,55145,44,Pending
INV-10420,Mumbai Fresh Mart,86034,87,Pending
INV-10421,Delhi Mega Stores,16400,31,Pending
INV-10422,Delhi Mega Stores,93938,81,Pending
INV-10423,Gujarat Supermarkets,35999,106,Pending
INV-10424,Gujarat Supermarkets,40787,115,Pending
INV-10425,Gujarat Supermarkets,70524,35,Pending
INV-10426,Punjab Distributors,84761,84,Pending
INV-10427,Rajasthan Traders,85233,46,Pending
INV-10428,Delhi Mega Stores,12598,29,Pending
INV-10429,Delhi Mega Stores,45346,96,Pending
INV-10430,Rajasthan Traders,74189,14,Pending
INV-10431,Delhi Mega Stores,46551,9,Pending
INV-10432,Mumbai Fresh Mart,22492,25,Pending
INV-10433,Delhi Mega Stores,97738,76,Pending
INV-10434,Gujarat Supermarkets,481129,-5,Paid
INV-10435,Gujarat Supermarkets,48382,24,Pending
INV-10436,Gujarat Supermarkets,51608,116,Pending
INV-10437,Punjab Distributors,99577,54,Pending
INV-10438,Punjab Distributors,32571,52,Pending
INV-10439,Rajasthan Traders,39340,112,Pending
INV-10440,Gujarat Supermarkets,95596,66,Pending
INV-10441,Gujarat Supermarkets,54954,94,Pending
INV-10442,Delhi Mega Stores,34157,115,Pending
INV-10443,Gujarat Supermarkets,33533,44,Pending
INV-10444,Rajasthan Traders,29229,99,Pending
INV-10445,Punjab Distributors,31044,95,Pending
INV-10446,Rajasthan Traders,20033,91,Pending
INV-10447,Gujarat Supermarkets,43687,1,Pending
INV-10448,Mumbai Fresh Mart,24221,42,Pending
INV-10449,Delhi Mega Stores,14108,74,Pending
INV-10450,Punjab Distributors,47731,96,Pending
INV-10451,Punjab Distributors,86313,27,Pending
INV-10452,Mumbai Fresh Mart,68226,63,Pending
INV-10453,Rajasthan Traders,11538,80,Pending
INV-10454,Rajasthan Traders,44985,16,Pending
INV-10455,Rajasthan Traders,13913,24,Pending
INV-10456,Punjab Distributors,94230,59,Pending
INV-10457,Gujarat Supermarkets,42607,50,Pending
INV-10458,Mumbai Fresh Mart,22525,44,Pending
INV-10459,Mumbai Fresh Mart,66565,4,Pending
INV-10460,Punjab Distributors,30645,51,Pending
INV-10461,Delhi Mega Stores,61455,120,Pending
INV-10462,Gujarat Supermarkets,17082,76,Pending
INV-10463,Gujarat Supermarkets,12455,98,Pending
INV-10464,Mumbai Fresh Mart,73663,103,Pending
INV-10465,Rajasthan Traders,13329,33,Pending
INV-10466,Gujarat Supermarkets,88011,1,Pending
INV-10467,Gujarat Supermarkets,88668,17,Pending
INV-10468,Punjab Distributors,19190,26,Pending
INV-10469,Gujarat Supermarkets,30041,28,Pending
INV-10470,Gujarat Supermarkets,18161,120,Pending
INV-10471,Delhi Mega Stores,16323,119,Pending
INV-10472,Delhi Mega Stores,67056,99,Pending
INV-10473,Rajasthan Traders,56244,44,Pending
INV-10474,Delhi Mega Stores,88633,64,Pending
INV-10475,Delhi Mega Stores,29355,36,Pending
INV-10476,Mumbai Fresh Mart,22417,118,Pending
INV-10477,Delhi Mega Stores,221011,-9,Paid
INV-10478,Mumbai Fresh Mart,33683,39,Pending
INV-10479,Punjab Distributors,74674,70,Pending
INV-10480,Punjab Distributors,26693,95,Pending
INV-10481,Mumbai Fresh Mart,72599,77,Pending
INV-10482,Punjab Distributors,67342,56,Pending
INV-10483,Rajasthan Traders,68270,94,Pending
INV-10484,Punjab Distributors,41452,0,Paid
INV-10485,Mumbai Fresh Mart,469104,0,Paid
INV-10486,Mumbai Fresh Mart,39157,46,Pending
INV-10487,Rajasthan Traders,67988,8,Pending
INV-10488,Delhi Mega Stores,92026,56,Pending
INV-10489,Delhi Mega Stores,95841,34,Pending
INV-10490,Mumbai Fresh Mart,17890,114,Pending
INV-10491,Punjab Distributors,52210,11,Pending
INV-10492,Gujarat Supermarkets,82757,87,Pending
INV-10493,Punjab Distributors,81983,30,Pending
INV-10494,Delhi Mega Stores,68443,119,Pending
INV-10495,Delhi Mega Stores,89130,85,Pending
INV-10496,Gujarat Supermarkets,61394,105,Pending
INV-10497,Delhi Mega Stores,25378,104,Pending
INV-10498,Rajasthan Traders,88040,15,Pending
INV-10499,Rajasthan Traders,45074,19,Pending
INV-10500,Rajasthan Traders,15719,46,Pending
INV-10501,Delhi Mega Stores,324337,-1,Paid
INV-10502,Gujarat Supermarkets,93604,80,Pending
INV-10503,Gujarat Supermarkets,74122,50,Pending
INV-10504,Rajasthan Traders,165055,-9,Paid
INV-10505,Rajasthan Traders,79430,71,Pending
INV-10506,Gujarat Supermarkets,21786,66,Pending
INV-10507,Delhi Mega Stores,73233,49,Pending
INV-10508,Gujarat Supermarkets,63733,14,Pending
INV-10509,Punjab Distributors,53681,21,Pending
INV-10510,Rajasthan Traders,51153,40,Pending
INV-10511,Mumbai Fresh Mart,96725,74,Pending
INV-10512,Mumbai Fresh Mart,88607,98,Pending
INV-10513,Punjab Distributors,70110,32,Pending
INV-10514,Mumbai Fresh Mart,32699,61,Pending
INV-10515,Gujarat Supermarkets,46296,96,Pending
INV-10516,Mumbai Fresh Mart,54369,18,Pending
INV-10517,Rajasthan Traders,36779,1,Pending
INV-10518,Delhi Mega Stores,57735,21,Pending
INV-10519,Rajasthan Traders,81679,80,Pending
INV-10520,Rajasthan Traders,488321,-5,Paid
INV-10521,Rajasthan Traders,12577,1,Pending
INV-10522,Mumbai Fresh Mart,91204,91,Pending
INV-10523,Rajasthan Traders,12085,36,Pending
INV-10524,Mumbai Fresh Mart,56882,29,Pending
INV-10525,Gujarat Supermarkets,44785,21,Pending
INV-10526,Punjab Distributors,49083,105,Pending
INV-10527,Rajasthan Traders,65207,108,Pending
INV-10528,Mumbai Fresh Mart,51760,96,Pending
INV-10529,Delhi Mega Stores,55497,48,Pending
INV-10530,Gujarat Supermarkets,52647,67,Pending
INV-10531,Rajasthan Traders,199361,-8,Paid
INV-10532,Delhi Mega Stores,82594,38,Pending
